Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda209971,,acyclovir,acyclovir,torrent,,ointment,topical,approved,authorised,11.01.2019,2019,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,torrent,FDA,indications and usage: acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,fda,no,<genital herpes>; <herpes simplex>,
anda210401,,acyclovir,acyclovir,yiling,,tablet,oral,approved,authorised,07.03.2018,2018,no,,,,,,,yes,,,yiling,FDA,,fda,no,,
anda210774,,acyclovir,acyclovir,apotex,,ointment,topical,approved,discontinued,06.09.2019,2019,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda211794,,acyclovir,acyclovir,cipla,,ointment,topical,approved,authorised,18.01.2019,2019,no,,,,,,,yes,,,cipla,FDA,,fda,no,,
anda212173,,acyclovir,acyclovir,yiling,,capsule,oral,approved,authorised,14.09.2020,2020,no,,,,infectious and parasitic diseases,,,yes,,,yiling,FDA,indications and usage herpes zoster infections: acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox: acyclovir is indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda212202,,acyclovir,acyclovir,prinston inc,,ointment,topical,approved,discontinued,15.11.2021,2021,no,,,,,,,yes,,,prinston,FDA,,fda,no,,
anda212252,,acyclovir,acyclovir,novitium pharma,,suspension,oral,approved,authorised,10.07.2020,2020,no,,,,,,,yes,,,novitium,FDA,,fda,no,,
anda212361,,acyclovir,acyclovir,alembic,,cream,topical,approved,authorised,21.11.2023,2023,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,alembic,FDA,1 indications and usage acyclovir cream is a herpes simplex virus (hsv) deoxynucleoside analogue dna polymerase inhibitor indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older. acyclovir cream is a herpes simplex virus (hsv) deoxynucleoside analogue dna polymerase inhibitor indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older. ( 1 ),fda,no,<herpes labialis>,
anda212444,,acyclovir,acyclovir,macleods pharms ltd,,ointment,topical,approved,authorised,19.05.2021,2021,no,,,,,,,yes,,,macleods,FDA,,fda,no,,
anda212495,,acyclovir,acyclovir,chartwell rx,,ointment,topical,approved,authorised,07.04.2020,2020,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
