drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
cefixime,FDA,HealthCanada,3900,128.1208935611038,2004-02-12,2014-10-17,FDA -> HealthCanada
cefotaxime sodium,FDA,HealthCanada,5341,175.45992115637318,2000-03-24,2014-11-07,FDA -> HealthCanada
cefprozil,FDA,HealthCanada,2116,69.51379763469119,2004-06-23,2010-04-09,FDA -> HealthCanada
ceftaroline fosamil,FDA,EMA,601,19.743758212877793,2010-10-29,2012-06-21,FDA -> EMA
ceftaroline fosamil,EMA,TGA,231,7.588699080157687,2012-06-21,2013-02-07,EMA -> TGA
ceftobiprole medocaril sodium,TGA,FDA,3075,101.01839684625493,2015-11-02,2024-04-03,TGA -> FDA
ceftolozane / tazobactam,EMA,TGA,98,3.219448094612352,2015-07-23,2015-10-29,EMA -> TGA
celecoxib,FDA,HealthCanada,104,3.416557161629435,1998-12-31,1999-04-14,FDA -> HealthCanada
celecoxib,HealthCanada,TGA,4088,134.2969776609724,1999-04-14,2010-06-23,HealthCanada -> TGA
cemiplimab,HealthCanada,EMA,16,0.5256241787122208,2019-04-10,2019-04-26,HealthCanada -> EMA
cemiplimab,EMA,TGA,433,14.224704336399475,2019-04-26,2020-07-02,EMA -> TGA
cemiplimab,TGA,PMDA,879,28.876478318002626,2020-07-02,2022-11-28,TGA -> PMDA
cenegermin,EMA,TGA,851,27.95663600525624,2017-05-18,2019-09-16,EMA -> TGA
cenobamate,FDA,EMA,434,14.257555847568987,2019-11-21,2021-01-28,FDA -> EMA
cenobamate,EMA,Swissmedic,476,15.637319316688567,2021-01-28,2022-05-19,EMA -> Swissmedic
cenobamate,Swissmedic,HealthCanada,389,12.779237844940866,2022-05-19,2023-06-12,Swissmedic -> HealthCanada
ceritinib,FDA,EMA,303,9.95400788436268,2014-04-29,2015-02-26,FDA -> EMA
ceritinib,EMA,HealthCanada,29,0.9526938239159001,2015-02-26,2015-03-27,EMA -> HealthCanada
ceritinib,HealthCanada,PMDA,336,11.038107752956636,2015-03-27,2016-02-26,HealthCanada -> PMDA
ceritinib,PMDA,TGA,32,1.0512483574244416,2016-02-26,2016-03-29,PMDA -> TGA
cerliponase alfa,EMA,FDA,6,0.19710906701708278,2017-04-21,2017-04-27,EMA -> FDA
cerliponase alfa,FDA,HealthCanada,601,19.743758212877793,2017-04-27,2018-12-19,FDA -> HealthCanada
certolizumab pegol,FDA,EMA,429,14.09329829172142,2008-04-22,2009-06-25,FDA -> EMA
