Year,Disease_class,Incidence
2020,Diseases of the blood and blood-forming organs,351095163.3681383
2020,Diseases of the circulatory system,68515321.41245657
2020,Diseases of the digestive system,7897514383.658464
2020,Diseases of the ear,396661633.9510692
2020,Diseases of the eye and adnexa,594168.1071604547
2020,Diseases of the genitourinary system,1683958471.6906595
2020,Diseases of the musculoskeletal system and connective tissue,365487301.3981744
2020,Diseases of the nervous system,190976175.85436755
2020,Diseases of the respiratory system,14843954398.517908
2020,Diseases of the skin,4162973536.7728376
2020,"Injury, poisoning and certain other consequences of external causes",815205458.2159771
2020,Mental and behavioural disorders,662092229.2383537
2020,Neoplasms,129501688.39840491
2020,Other,1615955145.3743396
2020,Pregnancy and childbirth,149214281.415432
2021,Diseases of the blood and blood-forming organs,352890632.40020394
2021,Diseases of the circulatory system,69286807.96875893
2021,Diseases of the digestive system,8070918789.570807
2021,Diseases of the ear,396664388.779297
2021,Diseases of the eye and adnexa,583662.8829411293
2021,Diseases of the genitourinary system,1705288772.488207
2021,Diseases of the musculoskeletal system and connective tissue,369714412.59296215
2021,Diseases of the nervous system,191470641.61675107
2021,Diseases of the respiratory system,17059874841.470808
2021,Diseases of the skin,4210803201.824541
2021,"Injury, poisoning and certain other consequences of external causes",833694635.796917
2021,Mental and behavioural disorders,675281486.4245763
2021,Neoplasms,131103384.87172271
2021,Other,1642700693.952522
2021,Pregnancy and childbirth,147864338.98970473
2022,Diseases of the blood and blood-forming organs,362356860.60145646
2022,Diseases of the circulatory system,70247471.21360224
2022,Diseases of the digestive system,8269685422.068375
2022,Diseases of the ear,396090910.6707812
2022,Diseases of the eye and adnexa,571796.2252172629
2022,Diseases of the genitourinary system,1727736886.6592622
2022,Diseases of the musculoskeletal system and connective tissue,373280408.6290507
2022,Diseases of the nervous system,191862790.01211277
2022,Diseases of the respiratory system,21459690598.962708
2022,Diseases of the skin,4269590425.6354675
2022,"Injury, poisoning and certain other consequences of external causes",854956324.8784854
2022,Mental and behavioural disorders,567327529.4557903
2022,Neoplasms,132551567.68058987
2022,Other,1674339688.9955723
2022,Pregnancy and childbirth,146593086.79205146
2023,Diseases of the blood and blood-forming organs,363081520.0458481
2023,Diseases of the circulatory system,71502055.54995649
2023,Diseases of the digestive system,8330103999.109909
2023,Diseases of the ear,394521391.31182855
2023,Diseases of the eye and adnexa,566638.0524748645
2023,Diseases of the genitourinary system,1801101285.9634547
2023,Diseases of the musculoskeletal system and connective tissue,374528809.22565305
2023,Diseases of the nervous system,193945183.05080572
2023,Diseases of the respiratory system,20429321150.249306
2023,Diseases of the skin,4324718480.781308
2023,"Injury, poisoning and certain other consequences of external causes",877805860.2609648
2023,Mental and behavioural disorders,484103700.99026275
2023,Neoplasms,134047840.89128527
2023,Other,1705663802.2379503
2023,Pregnancy and childbirth,145506084.6808229
