Year,Disease_class,Prevalence
2014,Pregnancy and childbirth,267986835.92175025
2015,Diseases of the blood and blood-forming organs,1360557802.7619867
2015,Diseases of the circulatory system,693115766.5433344
2015,Diseases of the digestive system,7167806241.21498
2015,Diseases of the ear,1626750334.859282
2015,Diseases of the eye and adnexa,755811460.4577166
2015,Diseases of the genitourinary system,3762728392.9232225
2015,Diseases of the musculoskeletal system and connective tissue,1809093591.9360552
2015,Diseases of the nervous system,1218120306.0441918
2015,Diseases of the respiratory system,2554981480.359786
2015,Diseases of the skin,1274971457.5524616
2015,"Injury, poisoning and certain other consequences of external causes",2581471748.1132245
2015,Mental and behavioural disorders,1141928274.6874301
2015,Neoplasms,330736231.56500584
2015,Other,4582893380.0824995
2015,Pregnancy and childbirth,272699049.2446564
2016,Diseases of the blood and blood-forming organs,1376707841.5608943
2016,Diseases of the circulatory system,706074661.4231573
2016,Diseases of the digestive system,7233877121.579238
2016,Diseases of the ear,1664702948.4091923
2016,Diseases of the eye and adnexa,774433378.1926024
2016,Diseases of the genitourinary system,3817708782.293643
2016,Diseases of the musculoskeletal system and connective tissue,1848601234.3463526
2016,Diseases of the nervous system,1234354653.1698658
2016,Diseases of the respiratory system,2571338275.5240536
2016,Diseases of the skin,1289944982.0867586
2016,"Injury, poisoning and certain other consequences of external causes",2572148625.9619203
2016,Mental and behavioural disorders,1161798557.2875147
2016,Neoplasms,337359527.0094025
2016,Other,4599398683.050637
2016,Pregnancy and childbirth,276593378.8848099
2017,Diseases of the blood and blood-forming organs,1395239768.8886414
2017,Diseases of the circulatory system,718804115.2863923
2017,Diseases of the digestive system,7290488122.975609
2017,Diseases of the ear,1704421812.8327808
2017,Diseases of the eye and adnexa,792977032.7412126
2017,Diseases of the genitourinary system,3875429057.009456
2017,Diseases of the musculoskeletal system and connective tissue,1889089249.2816882
2017,Diseases of the nervous system,1252185703.2252965
2017,Diseases of the respiratory system,2587664164.326225
2017,Diseases of the skin,1304753051.432273
2017,"Injury, poisoning and certain other consequences of external causes",2523186928.7089667
2017,Mental and behavioural disorders,1180992604.0424035
2017,Neoplasms,344269361.8768532
2017,Other,4577797934.514794
2017,Pregnancy and childbirth,281831715.5966492
2018,Diseases of the blood and blood-forming organs,1414618035.047054
2018,Diseases of the circulatory system,730489325.1059718
2018,Diseases of the digestive system,7345870551.424008
2018,Diseases of the ear,1744388615.854272
2018,Diseases of the eye and adnexa,811223275.8113518
2018,Diseases of the genitourinary system,3933810715.316894
2018,Diseases of the musculoskeletal system and connective tissue,1929172818.4346101
2018,Diseases of the nervous system,1270570484.3530989
2018,Diseases of the respiratory system,2602957570.849254
2018,Diseases of the skin,1318824167.347157
2018,"Injury, poisoning and certain other consequences of external causes",2458422133.726709
2018,Mental and behavioural disorders,1199658184.191291
2018,Neoplasms,350703688.1974746
2018,Other,4540966800.672472
2018,Pregnancy and childbirth,287018834.45278776
2019,Diseases of the blood and blood-forming organs,1434102685.5356295
2019,Diseases of the circulatory system,743409130.1935661
2019,Diseases of the digestive system,7412621775.969711
2019,Diseases of the ear,1785576446.3272274
2019,Diseases of the eye and adnexa,830601773.5411079
2019,Diseases of the genitourinary system,3993682527.4036865
2019,Diseases of the musculoskeletal system and connective tissue,1969626527.727644
2019,Diseases of the nervous system,1288742248.4425738
2019,Diseases of the respiratory system,2617817942.410672
2019,Diseases of the skin,1332635992.7437618
2019,"Injury, poisoning and certain other consequences of external causes",2410333898.928127
2019,Mental and behavioural disorders,1219419108.7485423
2019,Neoplasms,357417076.8543461
2019,Other,4521032008.302504
2019,Pregnancy and childbirth,290716273.93606496
2020,Diseases of the blood and blood-forming organs,1452399917.5613985
2020,Diseases of the circulatory system,757163267.2282213
2020,Diseases of the digestive system,7495276681.020965
2020,Diseases of the ear,1825504666.465963
2020,Diseases of the eye and adnexa,850028211.1964235
2020,Diseases of the genitourinary system,4052564517.3174906
2020,Diseases of the musculoskeletal system and connective tissue,2008362858.705625
2020,Diseases of the nervous system,1305359517.560887
2020,Diseases of the respiratory system,2760674907.7004724
2020,Diseases of the skin,1345573134.4959056
2020,"Injury, poisoning and certain other consequences of external causes",2407353695.4456477
2020,Mental and behavioural disorders,1342696005.9096875
2020,Neoplasms,363666095.4962658
2020,Other,4545218666.363687
2020,Pregnancy and childbirth,295986996.7126025
2021,Diseases of the blood and blood-forming organs,1467585570.3274024
2021,Diseases of the circulatory system,767535491.3672631
2021,Diseases of the digestive system,7567668537.776492
2021,Diseases of the ear,1870312020.1437137
2021,Diseases of the eye and adnexa,869085674.4824383
2021,Diseases of the genitourinary system,4112679471.7950172
2021,Diseases of the musculoskeletal system and connective tissue,2041717911.2251782
2021,Diseases of the nervous system,1320413680.4090462
2021,Diseases of the respiratory system,2918862617.907392
2021,Diseases of the skin,1357047197.9128137
2021,"Injury, poisoning and certain other consequences of external causes",2471883115.3038545
2021,Mental and behavioural disorders,1368915154.2404125
2021,Neoplasms,370326180.5103663
2021,Other,4632425850.466454
2021,Pregnancy and childbirth,299195667.95127153
2022,Diseases of the blood and blood-forming organs,1483458767.2504458
2022,Diseases of the circulatory system,780312871.878353
2022,Diseases of the digestive system,7639147750.114962
2022,Diseases of the ear,1916501763.4024365
2022,Diseases of the eye and adnexa,889451069.5971287
2022,Diseases of the genitourinary system,4173322625.9226074
2022,Diseases of the musculoskeletal system and connective tissue,2072511714.9896598
2022,Diseases of the nervous system,1335925276.68344
2022,Diseases of the respiratory system,3072086425.5336356
2022,Diseases of the skin,1368735268.5382724
2022,"Injury, poisoning and certain other consequences of external causes",2555650423.765132
2022,Mental and behavioural disorders,1398832523.7367525
2022,Neoplasms,379788183.0109336
2022,Other,4741262016.862887
2022,Pregnancy and childbirth,305929816.72457623
2023,Diseases of the blood and blood-forming organs,1496167156.2548077
2023,Diseases of the circulatory system,801961013.3545359
2023,Diseases of the digestive system,7618474656.655922
2023,Diseases of the ear,1952559437.099018
2023,Diseases of the eye and adnexa,909537748.8528548
2023,Diseases of the genitourinary system,4274839912.5811896
2023,Diseases of the musculoskeletal system and connective tissue,2081140748.1676564
2023,Diseases of the nervous system,1350448322.5926201
2023,Diseases of the respiratory system,2984338496.5379195
2023,Diseases of the skin,1383149585.6065164
2023,"Injury, poisoning and certain other consequences of external causes",2602194176.470373
2023,Mental and behavioural disorders,1479793378.3744879
2023,Neoplasms,387227598.3881989
2023,Other,4813291915.395644
2023,Pregnancy and childbirth,308048300.0167676
