"FORMULATION_ID"~"COMPONENT_ID"~"FORMULATION_TYPE"~"INGREDIENT_ID"~"LABEL_NAME_AND_POTENCY"~"CONCENTRATION_RATIO_1"~"CONCENTRATION_RATIO_2"~"POTENCY"~"POTENCY_MEASURED"~"UNIT_PROPORTION_CODE"~"ADDITIONAL_INFORMATION"~"STANDARDISED_FLAG"~"CREATION_DATE"~"LAST_UPDATE_DATE"~"QUANTITY"~"FORMULATION_INGREDIENT_TYPE"
6290~47950~E~718~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~PI
6853~48039~A~100665~~~~~~mg/g~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~100~S
6854~48039~E~52637~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:26:41~~S
6855~48039~E~55549~~~~~~mg/g~~~03-jul-2002 00:00:00~20-jun-2005 15:27:37~~S
6856~48039~E~55929~~~~~~mg/g~~~03-jul-2002 00:00:00~20-jun-2005 15:28:27~~S
6857~48039~E~58099~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:29:24~~S
6858~48039~E~57948~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:30:10~~S
6859~48039~E~58579~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:30:53~~S
8384~48242~A~55700~~~~~~mg/g~~~03-jul-2002 00:00:00~~50~S
8385~48242~E~53800~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8386~48242~E~94735~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8387~48242~E~93245~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8388~48242~E~57963~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8389~48242~E~52762~~~~~~microgram/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8390~48242~E~55549~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8392~48242~E~93224~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8393~48242~E~93285~~~~~~microgram/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
8461~48249~A~52510~~~~~~%~~~03-jul-2002 00:00:00~~20~S
8462~48249~A~55164~~~~~~%~~~03-jul-2002 00:00:00~~20~S
8463~48249~A~53580~~~~~~%~~~03-jul-2002 00:00:00~~20~S
8464~48249~A~54475~~~~~~%~~~03-jul-2002 00:00:00~~40~S
9587~48359~A~55283~~~~~~mg/mL~~~03-jul-2002 00:00:00~27-aug-1992 00:00:00~.3~S
9588~48359~A~55519~~~~~~mg/mL~~~03-jul-2002 00:00:00~~.3~S
9589~48359~E~55774~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9591~48359~E~55797~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9592~48359~E~93373~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9593~48359~E~68349~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9594~48359~E~52224~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9595~48359~E~93224~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9596~48359~E~55987~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~S
9598~48359~E~1722~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~PI
9599~48359~E~3497~~~~~~mg/g~~~03-jul-2002 00:00:00~13-sep-2005 14:42:45~~PI
10155~48418~A~53390~~~~~~mg/mL~~~03-jul-2002 00:00:00~25-mar-2004 16:46:55~156.17~S
10156~48418~E~52525~~~~~~mg/mL~~~03-jul-2002 00:00:00~25-mar-2004 16:46:56~~S
10157~48418~E~55820~~~~~~mg/mL~~~03-jul-2002 00:00:00~25-mar-2004 16:46:56~~S
10158~48418~E~56582~~~~~~QS~ad 1mL~~03-jul-2002 00:00:00~25-mar-2004 16:46:56~~S
11115~48510~A~54685~~~~~~mg~~~03-jul-2002 00:00:00~10-jun-1992 00:00:00~4~S
11116~48510~E~54252~~~~~~mg~~~03-jul-2002 00:00:00~05-oct-2005 11:18:51~~S
11117~48510~E~55950~~~~~~mg~~~03-jul-2002 00:00:00~05-oct-2005 11:18:51~~S
11118~48510~E~55987~~~~~~mg~~~03-jul-2002 00:00:00~05-oct-2005 11:18:51~~S
11119~48510~E~55091~~~~~~mg~~~03-jul-2002 00:00:00~05-oct-2005 11:18:51~~S
11120~48510~E~52569~~~~~~mg~~~03-jul-2002 00:00:00~05-oct-2005 11:18:51~~S
14522~48839~A~56455~~~~~~mg/g~~~03-jul-2002 00:00:00~~250~S
14523~48839~A~55950~~~~~~mg/g~~~03-jul-2002 00:00:00~03-jun-1991 00:00:00~724~S
14524~48839~E~52577~~~~~~~~~03-jul-2002 00:00:00~~~S
14525~48839~E~53580~~~~~~~~~03-jul-2002 00:00:00~~~S
14803~48859~A~52770~~~~~~mg~~~03-jul-2002 00:00:00~~250~S
