drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
xeomin,FDA,TGA,1326,43.56110381077529,2010-07-30,2014-03-17,FDA -> TGA
xermelo,FDA,EMA,142,4.664914586070959,2017-02-28,2017-07-20,FDA -> EMA
xermelo,EMA,HealthCanada,447,14.684625492772668,2017-07-20,2018-10-10,EMA -> HealthCanada
xevudy,TGA,PMDA,38,1.2483574244415243,2021-08-20,2021-09-27,TGA -> PMDA
xevudy,PMDA,EMA,80,2.628120893561104,2021-09-27,2021-12-16,PMDA -> EMA
xevudy,EMA,Swissmedic,29,0.9526938239159001,2021-12-16,2022-01-14,EMA -> Swissmedic
xgeva,HealthCanada,EMA,9,0.2956636005256242,2011-05-10,2011-05-19,HealthCanada -> EMA
xgeva,EMA,TGA,102,3.350854139290407,2011-05-19,2011-08-29,EMA -> TGA
xiaflex,FDA,TGA,1274,41.85282522996058,2010-02-02,2013-07-30,FDA -> TGA
xiaflex,TGA,PMDA,675,22.174770039421812,2013-07-30,2015-06-05,TGA -> PMDA
xiidra,FDA,HealthCanada,529,17.378449408672797,2016-07-11,2017-12-22,FDA -> HealthCanada
xiidra,HealthCanada,TGA,392,12.877792378449408,2017-12-22,2019-01-18,HealthCanada -> TGA
xofigo,FDA,EMA,127,4.1721419185282524,2013-05-15,2013-09-19,FDA -> EMA
xofigo,EMA,HealthCanada,84,2.759526938239159,2013-09-19,2013-12-12,EMA -> HealthCanada
xofigo,HealthCanada,TGA,152,4.993429697766097,2013-12-12,2014-05-13,HealthCanada -> TGA
xofluza,PMDA,FDA,264,8.672798948751643,2018-02-02,2018-10-24,PMDA -> FDA
xofluza,FDA,Swissmedic,483,15.867279894875164,2018-10-24,2020-02-19,FDA -> Swissmedic
xofluza,Swissmedic,TGA,2,0.0657030223390276,2020-02-19,2020-02-21,Swissmedic -> TGA
xofluza,TGA,EMA,265,8.705650459921156,2020-02-21,2020-11-12,TGA -> EMA
xofluza,EMA,HealthCanada,427,14.027595269382392,2020-11-12,2022-01-13,EMA -> HealthCanada
xolair,FDA,HealthCanada,517,16.98423127463863,2003-06-20,2004-11-18,FDA -> HealthCanada
xolair,HealthCanada,PMDA,1439,47.273324572930356,2004-11-18,2008-10-27,HealthCanada -> PMDA
xolair,PMDA,TGA,2201,72.30617608409986,2008-10-27,2014-11-06,PMDA -> TGA
xospata,PMDA,FDA,91,2.9894875164257555,2018-08-29,2018-11-28,PMDA -> FDA
xospata,FDA,EMA,295,9.69119579500657,2018-11-28,2019-09-19,FDA -> EMA
xospata,EMA,HealthCanada,95,3.1208935611038107,2019-09-19,2019-12-23,EMA -> HealthCanada
xospata,HealthCanada,TGA,94,3.088042049934297,2019-12-23,2020-03-26,HealthCanada -> TGA
xospata,TGA,Swissmedic,182,5.978975032851511,2020-03-26,2020-09-24,TGA -> Swissmedic
xpovio,FDA,TGA,974,31.99737187910644,2019-07-03,2022-03-03,FDA -> TGA
xpovio,TGA,HealthCanada,89,2.923784494086728,2022-03-03,2022-05-31,TGA -> HealthCanada
xtandi,FDA,EMA,237,7.7858081471747695,2012-08-31,2013-04-25,FDA -> EMA
xtandi,EMA,HealthCanada,34,1.1169513797634691,2013-04-25,2013-05-29,EMA -> HealthCanada
xtandi,HealthCanada,TGA,393,12.910643889618921,2013-05-29,2014-06-26,HealthCanada -> TGA
xultophy,EMA,HealthCanada,1357,44.57950065703022,2014-07-24,2018-04-11,EMA -> HealthCanada
xultophy,HealthCanada,TGA,981,32.22733245729303,2018-04-11,2020-12-17,HealthCanada -> TGA
yervoy,FDA,EMA,55,1.8068331143232588,2011-03-25,2011-05-19,FDA -> EMA
yervoy,EMA,HealthCanada,258,8.47568988173456,2011-05-19,2012-02-01,EMA -> HealthCanada
yervoy,HealthCanada,PMDA,1212,39.81603153745072,2012-02-01,2015-05-28,HealthCanada -> PMDA
yondelis,HealthCanada,PMDA,1936,63.60052562417871,2010-05-13,2015-08-31,HealthCanada -> PMDA
yondelis,PMDA,FDA,53,1.7411300919842312,2015-08-31,2015-10-23,PMDA -> FDA
yondelis,FDA,TGA,2007,65.93298291721419,2015-10-23,2021-04-21,FDA -> TGA
yuflyma,EMA,HealthCanada,379,12.450722733245728,2020-12-10,2021-12-24,EMA -> HealthCanada
yuflyma,HealthCanada,TGA,66,2.1681997371879107,2021-12-24,2022-02-28,HealthCanada -> TGA
yuflyma,TGA,FDA,449,14.750328515111695,2022-02-28,2023-05-23,TGA -> FDA
zavesca,FDA,HealthCanada,244,8.015768725361367,2003-07-31,2004-03-31,FDA -> HealthCanada
zavesca,HealthCanada,TGA,2135,70.13797634691196,2004-03-31,2010-02-03,HealthCanada -> TGA
zejula,FDA,EMA,171,5.617608409986859,2017-03-27,2017-09-14,FDA -> EMA
zejula,EMA,TGA,652,21.419185282522996,2017-09-14,2019-06-28,EMA -> TGA
zejula,TGA,PMDA,434,14.257555847568987,2019-06-28,2020-09-04,TGA -> PMDA
zejula,PMDA,HealthCanada,719,23.62023653088042,2020-09-04,2022-08-24,PMDA -> HealthCanada
zelboraf,FDA,EMA,120,3.9421813403416555,2011-08-17,2011-12-15,FDA -> EMA
zelboraf,EMA,HealthCanada,62,2.0367936925098555,2011-12-15,2012-02-15,EMA -> HealthCanada
zepatier,FDA,EMA,119,3.9093298291721417,2016-01-28,2016-05-26,FDA -> EMA
zepatier,EMA,TGA,91,2.9894875164257555,2016-05-26,2016-08-25,EMA -> TGA
zeposia,FDA,EMA,1,0.0328515111695138,2020-03-25,2020-03-26,FDA -> EMA
zeposia,EMA,TGA,112,3.679369250985545,2020-03-26,2020-07-16,EMA -> TGA
zeposia,TGA,Swissmedic,26,0.8541392904073587,2020-07-16,2020-08-11,TGA -> Swissmedic
zeposia,Swissmedic,HealthCanada,52,1.7082785808147174,2020-08-11,2020-10-02,Swissmedic -> HealthCanada
zepzelca,FDA,TGA,452,14.848883048620236,2020-06-15,2021-09-10,FDA -> TGA
zepzelca,TGA,HealthCanada,19,0.6241787122207622,2021-09-10,2021-09-29,TGA -> HealthCanada
