DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
102753,02538849,silk hydration weightless sunscreen spray spf 50+,avobenzone; octocrylene; homosalate; octisalate,spray,topical,approved,09.06.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102757,02538881,winlevi,clascoterone,cream,topical,approved,15.06.2023,approved,sun pharmaceutical industries limited,2023,sun,small molecule,HealthCanada
102761,02538954,coal-tar shampoo,coal tar,shampoo,topical,approved,16.06.2023,approved,seaford pharmaceuticals inc,2023,seaford,other,HealthCanada
102762,02538946,silk hydration weightless sunscreen lotion spf 50+,octisalate; avobenzone; octocrylene; homosalate,lotion,topical,marketed,01.12.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102766,02538997,youth-extending daily hydrating fluid,octinoxate; avobenzone; octisalate; octocrylene,lotion,topical,approved,19.06.2023,approved,paula's choice llc,2023,paula's choice,small molecule,HealthCanada
102771,02539047,absorica ld,isotretinoin,capsule,oral,approved,22.06.2023,approved,sun pharmaceutical industries limited,2023,sun,small molecule,HealthCanada
102772,02539055,absorica ld,isotretinoin,capsule,oral,approved,22.06.2023,approved,sun pharmaceutical industries limited,2023,sun,small molecule,HealthCanada
102773,02539063,absorica ld,isotretinoin,capsule,oral,approved,22.06.2023,approved,sun pharmaceutical industries limited,2023,sun,small molecule,HealthCanada
102774,02539071,absorica ld,isotretinoin,capsule,oral,approved,22.06.2023,approved,sun pharmaceutical industries limited,2023,sun,small molecule,HealthCanada
102775,02539098,silk hydration face spf 30,octocrylene; avobenzone; octisalate; homosalate,lotion,topical,approved,21.06.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102777,02539128,ultra sun protector spray,avobenzone; octisalate; homosalate; octocrylene,spray,topical,approved,22.06.2023,approved,shiseido americas corporation dist,2023,shiseido,small molecule,HealthCanada
102778,02539136,nat-eribulin,eribulin mesylate,solution,intravenous,approved,27.06.2023,approved,natco pharma (canada) inc,2023,natco,small molecule,HealthCanada
102783,02539187,ultra sun protector lotion,avobenzone; octisalate; homosalate; octocrylene,lotion,topical,approved,27.06.2023,approved,shiseido americas corporation dist,2023,shiseido,small molecule,HealthCanada
102786,02539209,daunorubicin hydrochloride injection,daunorubicin (daunorubicin hydrochloride),solution,intravenous,approved,30.06.2023,approved,hikma canada limited,2023,hikma,small molecule,HealthCanada
102787,02539225,silk hydration weightless sunscreen lotion spf 30,octisalate; octocrylene; homosalate; avobenzone,lotion,topical,approved,29.06.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102793,02539292,auro-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,auro pharma inc,2024,auro,small molecule,HealthCanada
102794,02539306,auro-brivaracetam,brivaracetam,tablet,oral,approved,10.09.2024,approved,auro pharma inc,2024,auro,small molecule,HealthCanada
102797,02539349,silk hydration serum spf 30,octisalate; octocrylene; avobenzone; homosalate,lotion,topical,marketed,01.12.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102798,02539330,silk hydration face serum spf 50,avobenzone; homosalate; octisalate; octocrylene,lotion,topical,approved,04.07.2023,approved,"edgewell personal care canada, ulc",2023,edgewell,small molecule,HealthCanada
102817,02539411,jamp amoxi clav suspension,amoxicillin (amoxicillin trihydrate); clavulanic acid (clavulanate potassium),powder,oral,approved,11.07.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
102818,02539438,jamp amoxi clav suspension,clavulanic acid (clavulanate potassium); amoxicillin (amoxicillin trihydrate),powder,oral,approved,11.07.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
102819,02539446,jamp amoxi clav suspension,clavulanic acid (clavulanate potassium); amoxicillin (amoxicillin trihydrate),powder,oral,approved,11.07.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
102820,02539454,plerixafor injection,plerixafor,solution,subcutaneous,approved,11.07.2023,approved,eugia pharma inc.,2023,eugia,small molecule,HealthCanada
102827,02539519,jamp silodosin,silodosin,capsule,oral,approved,14.07.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
102828,02539527,jamp silodosin,silodosin,capsule,oral,approved,14.07.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
102832,02539578,glow stick,avobenzone; octocrylene; octisalate,stick,topical,approved,12.07.2023,approved,"supergoop, llc",2023,supergoop,small molecule,HealthCanada
102833,02539586,bivalirudin for injection,bivalirudin,powder,intravenous,approved,14.07.2023,approved,formative pharma inc.,2023,formative,peptides and proteins,HealthCanada
102835,02539608,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
