Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
aducanumab-avwa,1,['aduhelm'],True
afamelanotide,3,['scenesse'],True
afatinib,3,"['afatinib', 'giotrif']",False
afatinib (afatinib dimaleate),1,"['giotrif', 'mar-afatinib', 'sandoz afatinib']",True
afatinib dimaleate,1,['gilotrif'],True
afatinib maleate,1,['giotrif'],True
aflibercept,5,"['afqlir', 'ahzantive', 'baiama', 'eydenzelt', 'eylea', 'eylea hd', 'opuviz', 'pavblu', 'skojoy', 'yesafili', 'zaltrap', 'zaltrap, aflitiv, lidaveg']",True
aflibercept-abzv,1,['enzeevu'],True
aflibercept-ayyh,1,['pavblu'],True
aflibercept-jbvf,1,['yesafili'],True
aflibercept-mrbb,1,['ahzantive'],True
aflibercept-yszy,1,['opuviz'],True
agalsidase alfa,2,['replagal'],True
agalsidase alfa ghu,1,['replagal'],True
agalsidase beta,2,['fabrazyme'],True
agomelatine,2,"['thymanax', 'valdoxan']",True
air polymer-type a,1,['exem foam kit'],True
alanylglutamine,1,['dipeptiven'],True
alatrofloxacin mesylate,1,['trovan preservative free'],True
albendazole,1,"['albendazole', 'albenza']",True
albiglutide,2,"['eperzan', 'tanzeum']",False
albumin,1,"['albunate 5, albunate 20 and albunate 25']",True
albumin (human),2,"['albumex 20/albumex 5/albumex 4', 'albumin (human) 25% solution usp', 'albumin (human) 5% solution, usp', 'alburex - 25', 'alburex - 5', 'plasbumin-5', 'stannous maa kit', 'sterile diluent for allergenic extract - albumin saline with phenol']",False
albumin human,1,['optison'],True
albuterol,1,['albuterol'],True
albuterol sulfate,1,"['accuneb', 'airsupra', 'albuterol sulfate', 'albuterol sulfate and ipratropium bromide', 'albuterol sulfate and ipratropium bromide; albuterol sulfate; ipratropium bromide', 'combivent', 'combivent respimat', 'duoneb', 'proair digihaler; proair respiclick', 'proair hfa', 'proventil-hfa', 'ventolin hfa', 'vospire er']",True
albutrepenonacog alfa,3,['idelvion'],True
alcaftadine,1,"['alcaftadine', 'lastacaft']",True
alclometasone dipropionate,1,['alclometasone dipropionate'],True
alcohol,1,"['ablysinol', 'avagard']",True
aldesleukin,1,['proleukin'],True
alectinib,2,['alecensa'],True
alectinib (alectinib hydrochloride),1,['alecensaro'],True
alectinib hydrochloride,3,['alecensa'],True
