Non_proprietary_name,Drug_name,n_agencies_per_name,n_agencies,is_globally_consistent
acetaminophen; tramadol hydrochloride,auro-tramadol/acetaminophen,1,1,True
acetaminophen; tramadol hydrochloride,mar-tramadol/acet,1,1,True
acetaminophen; tramadol hydrochloride,nra-tramadol/acet,1,1,True
acetaminophen; tramadol hydrochloride,teva-tramadol/acetaminophen,1,1,True
acetazolamide,acetazolamide,1,1,True
acetazolamide (acetazolamide sodium),acetazolamide for injection usp,1,1,True
acetazolamide (acetazolamide sodium),"acetazolamide for injection, usp",1,1,True
acetazolamide sodium,acetazolamide sodium,1,1,True
"acetic acid, glacial",acetic acid,1,1,True
"acetic acid, glacial",hydrocortisone and acetic acid,1,1,True
acetic acid; calcium chloride; dextrose; magnesium chloride; potassium chloride; sodium chloride,acid concentrate d12293,1,1,True
acetic acid; calcium chloride; dextrose; potassium chloride; magnesium chloride; sodium chloride,acid concentrate d12275,1,1,True
acetic acid; calcium chloride; magnesium chloride; sodium chloride; potassium chloride; dextrose,acid concentrate d12286,1,1,True
acetic acid; calcium chloride; potassium chloride; magnesium chloride; dextrose; sodium chloride,acid concentrate a1231,1,1,True
acetic acid; calcium chloride; potassium chloride; magnesium chloride; sodium chloride; dextrose,acid concentrate a1226,1,1,True
acetic acid; calcium chloride; sodium chloride; magnesium chloride; dextrose; potassium chloride,acid concentrate a1277,1,1,True
acetic acid; magnesium chloride; dextrose; potassium chloride; calcium chloride,selectbag one (ax 2525 g),1,1,True
acetic acid; magnesium chloride; sodium chloride; calcium chloride; dextrose; potassium chloride,acid concentrate d12290,1,1,True
acetic acid; magnesium chloride; sodium chloride; dextrose; potassium chloride; calcium chloride,acid concentrate a1253,1,1,True
acetic acid; magnesium chloride; sodium chloride; dextrose; potassium chloride; calcium chloride,naturalyte h-410,1,1,True
acetic acid; potassium chloride; dextrose; calcium chloride; magnesium chloride; sodium chloride,acid concentrate a1298,1,1,True
acetic acid; potassium chloride; dextrose; magnesium chloride; calcium chloride; sodium chloride,acid concentrate a1227,1,1,True
acetic acid; potassium chloride; magnesium chloride; dextrose; sodium chloride; calcium chloride,acid concentrate d12264,1,1,True
acetic acid; potassium chloride; sodium chloride; magnesium chloride; dextrose; calcium chloride,acid concentrate a1241,1,1,True
acetic acid; sodium chloride; calcium chloride; dextrose; magnesium chloride; potassium chloride,naturalyte h-330,1,1,True
acetic acid; sodium chloride; calcium chloride; dextrose; magnesium chloride; potassium chloride,naturalyte h-624,1,1,True
acetic acid; sodium chloride; calcium chloride; potassium chloride; magnesium chloride; dextrose,acid concentrate a1252,1,1,True
acetic acid; sodium chloride; dextrose; magnesium chloride; calcium chloride; potassium chloride,acid concentrate a1296,1,1,True
acetic acid; sodium chloride; magnesium chloride; potassium chloride; dextrose; calcium chloride,acid concentrate a1262,1,1,True
acetic acid; sodium chloride; potassium chloride; magnesium chloride; calcium chloride; dextrose,acid concentrate a1294,1,1,True
acetylcholine chloride,miochol-e,1,1,True
acetylcysteine,acetadote,1,2,False
acetylcysteine,acetylcysteine,1,2,False
acetylcysteine,acetylcysteine solution,1,2,False
acetylcysteine,acetylcysteine solution usp,1,2,False
acetylcysteine,cetylev,1,2,False
acetylcysteine lysine,legubeti,1,1,True
acetylsalicylic acid,asa,1,1,True
acetylsalicylic acid,asa 81 mg,1,1,True
acetylsalicylic acid,asa daily low dose,1,1,True
acetylsalicylic acid,asa ec,1,1,True
acetylsalicylic acid,asaphen,1,1,True
acetylsalicylic acid,asaphen e.c. 80 mg,1,1,True
acetylsalicylic acid,aspirin 81mg,1,1,True
acetylsalicylic acid,aspirin 81mg quick chews,1,1,True
acetylsalicylic acid,aspirin coated for delayed release regular strength,1,1,True
acetylsalicylic acid,aspirin extra strength,1,1,True
acetylsalicylic acid,enteric coated daily low dose asa 81 mg,1,1,True
acetylsalicylic acid,entrophen,1,1,True
acetylsalicylic acid,entrophen chewable,1,1,True
acetylsalicylic acid,jamp-asa 81mg ec,1,1,True
acetylsalicylic acid,jamp-asa chew,1,1,True
acetylsalicylic acid,jamp-asa ec,1,1,True
acetylsalicylic acid,m-asa 80 mg croquable,1,1,True
acetylsalicylic acid,praxis asa ec 81 mg daily low dose,1,1,True
acetylsalicylic acid,pro-aas - 80 (croquable),1,1,True
acetylsalicylic acid,pro-aas ec - 80,1,1,True
acetylsalicylic acid,rivasa 80 mg ec,1,1,True
acetylsalicylic acid,rivasa 80mg croquable - tab,1,1,True
acetylsalicylic acid,rivasa 81 mg ec,1,1,True
acetylsalicylic acid,rivasa fc,1,1,True
acetylsalicylic acid,sns-asa ec,1,1,True
acetylsalicylic acid; codeine phosphate; caffeine; butalbital,apo-butalbital-acetylsalicylic acid-caffeine-codeine-c 1/4,1,1,True
acetylsalicylic acid; methocarbamol,extra strength muscle & back pain asa 500 mg methocarbamol 400 mg & acetylsalicylic acid 500 mg,1,1,True
acetylsalicylic acid; methocarbamol,robaxisal extra strength,1,1,True
acidum bempedoicum,nilemdo,1,1,True
acidum carglumicum,carbaglu,1,1,True
acitretin,acitretin,1,2,False
acitretin,mint-acitretin,1,2,False
acitretin,soriatane,1,2,False
acitretin,taro-acitretin,1,2,False
aclidinium bromide,bretaris genuair,2,4,False
aclidinium bromide,duaklir pressair,1,4,False
aclidinium bromide,eklira genuair,1,4,False
aclidinium bromide,tudorza genuair,1,4,False
aclidinium bromide,tudorza pressair,1,4,False
aclidinium bromide/formoterol fumarate dihydrate,brimica genuair,1,1,True
aclidinium bromide/formoterol fumarate dihydrate,duaklir genuair,1,1,True
aclidinium bromide; formoterol fumarate dihydrate,duaklir genuair,1,1,True
acoltremon,tryptyr,1,1,True
acoramidis,beyonttra,1,1,True
acoramidis hydrochloride,attruby,1,1,True
acotiamide,acofide,1,1,True
activated recombinant dna human coagulation factor vii (rfviia),novoseven,1,1,True
acyclovir,acyclovir,1,2,False
acyclovir,apo-acyclovir,1,2,False
acyclovir,apo-acyclovir ointment,1,2,False
acyclovir,avaclyr,1,2,False
