Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
pralsetinib,['gavreto'],['gavreto'],['gavreto'],,,['gavreto'],1
pramipexole,,"['oprymea', 'pramipexole accord', 'pramipexole teva']",,,,,3
pramipexole dihydrochloride,,,"['mirapex', 'mirapex er', 'pramipexole dihydrochloride']",,,,3
pramipexole dihydrochloride monohydrate,,,,"['act pramipexole', 'apo-pramipexole', 'auro-pramipexole', 'mirapex', 'pramipexole', 'sandoz pramipexole']",,,6
pramlintide acetate,,,['symlin'],,,,1
pramoxine hydrochloride,,,,"['itch relief moisturizing cream', 'itch relief moisturizing lotion']",,,2
pramoxine hydrochloride; calamine,,,,['aveeno anti-itch lotion'],,,1
pramoxine hydrochloride; hydrocortisone acetate; zinc sulfate,,,,['proctodan-hc ointment'],,,1
pramoxine hydrochloride; menthol; dimethicone,,,,['gold bond anti-itch lotion'],,,1
pramoxine hydrochloride; zinc acetate,,,,['polysporin itch relief'],,,1
prasterone,['intrarosa'],['intrarosa'],['intrarosa'],['intrarosa'],,,1
prasugrel,,"['efient', 'prasugrel mylan']",,,,,2
prasugrel (prasugrel hydrochloride),,,,['jamp prasugrel'],,,1
prasugrel hydrochloride,,,"['effient', 'prasugrel', 'prasugrel hydrochloride']",,['efient'],,4
pravastatin sodium,,,['pravastatin sodium'],"['ach-pravastatin', 'ag-pravastatin', 'apo-pravastatin', 'auro-pravastatin', 'bio-pravastatin', 'jamp-pravastatin', 'm-pravastatin', 'mar-pravastatin', 'mint-pravastatin', 'pms-pravastatin', 'pravastatin', 'pro-pravastatin', 'sandoz pravastatin tablets', 'taro-pravastatin', 'teva-pravastatin']",,,16
praziquantel,,,['praziquantel'],['biltricide'],,,2
prazosin hydrochloride,,,['prazosin hydrochloride'],,,,1
prednicarbate,,,['prednicarbate'],['dermatop emollient cream'],,,2
prednisolone,,,['prednisolone'],,,,1
prednisolone (prednisolone sodium phosphate),,,,['pms-prednisolone'],,,1
prednisolone acetate,,,"['flo-pred', 'prednisolone acetate', 'sterane']",,,,3
prednisolone sodium phosphate,,,"['orapred', 'orapred odt', 'prednisolone sodium phosphate', 'sulfacetamide sodium and prednisolone sodium phosphate', 'sulster']",['minims prednisolone sodium phosphate'],,,6
prednisone,['lodotra'],,"['prednisone', 'rayos']",,,,3
pregabalin,,"['lyrica', 'pregabalin accord', 'pregabalin mylan', 'pregabalin mylan pharma', 'pregabalin pfizer', 'pregabalin sandoz', 'pregabalin sandoz gmbh', 'pregabalin zentiva']","['lyrica', 'lyrica cr', 'pregabalin']","['ach-pregabalin', 'ag-pregabalin', 'apo-pregabalin', 'auro-pregabalin', 'bio-pregabalin', 'jamp-pregabalin', 'lyrica', 'm-pregabalin', 'mar-pregabalin', 'mint-pregabalin', 'nat-pregabalin', 'nra-pregabalin', 'pms-pregabalin', 'pregabalin', 'riva-pregabalin', 'sandoz pregabalin', 'taro-pregabalin', 'teva-pregabalin']",,,26
"prepandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted)",,['prepandrix'],,,,,1
"prepandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted)",,"['aflunov', 'prepandemic influenza vaccine (h5n1) (surface antigen, inactivated, adjuvanted) novartis vaccines and diagnostic']",,,,,2
pretomanid,,['pretomanid fgk'],['pretomanid'],,,,2
prilocaine hydrochloride,,,['prilocaine hydrochloride'],['4% citanest plain dental'],,,2
primaquine phosphate,,,['primaquine phosphate'],,,,1
primidone,,,['primidone'],,,,1
probenecid,,,"['orlynvah', 'probenecid']",,,,2
procainamide hydrochloride,,,"['procainamide hydrochloride', 'procan sr', 'procanbid']",['procainamide hydrochloride injection usp'],,,4
prochlorperazine,,,"['compro', 'prochlorperazine']",,,,2
prochlorperazine (prochlorperazine maleate),,,,['prochlorazine'],,,1
prochlorperazine edisylate,,,['prochlorperazine edisylate'],,,,1
prochlorperazine maleate,,,"['compazine', 'prochlorperazine maleate', 'procomp']",,,,3
progesterone,"['endometrin pessaries', 'oripro', 'prometrium / utrogestan', 'utrogestan 200']",,"['crinone', 'endometrin', 'milprosa', 'progesterone', 'prometrium']","['act progesterone injection', 'auro-progesterone', 'crinone', 'endometrin', 'pms-progesterone', 'progesterone', 'progesterone injection, usp', 'prometrium', 'reddy-progesterone', 'teva-progesterone']",,,15
proguanil hydrochloride; atovaquone,,,,"['atovaquone and proguanil hydrochloride tablets', 'mylan-atovaquone/proguanil', 'teva-atovaquone proguanil']",,,3
proline; threonine; dl-methionine; tyrosine; glutamic acid; leucine; alanine; isoleucine; glycine; phenylalanine; serine; l-aspartic acid; tryptophan; lysine (lysine acetate); histidine; valine; arginine,,,,['20% prosol'],,,1
promethazine hydrochloride,,,['promethazine hydrochloride'],,,,1
propafenone hydrochloride,,,"['propafenone hydrochloride', 'rythmol sr']","['apo-propafenone', 'mylan-propafenone']",,,4
proparacaine hydrochloride,,,['proparacaine hydrochloride'],,,,1
propiverine hydrochloride,,,,"['mictoryl', 'mictoryl pediatric']",,,2
"propiverinum, propiverini hydrochloridum",,,,,,['mictonorm'],1
propofol,,,['propofol'],['propofol injection'],,,2
propoxyphene hydrochloride,,,['propoxyphene hydrochloride'],,,,1
propranolol,,['hemangiol'],,,,,1
propranolol (propranolol hydrochloride),,,,['hemangiol'],,,1
propranolol hydrochloride,['hemangiol'],,"['hemangeol', 'innopran xl', 'propranolol hydrochloride']","['lupin-propranolol la', 'propranolol hydrochloride injection usp', 'prz-propranolol']",['hemangiol'],,7
propylene glycol; glycerine,,,,"['lubricant eye drops/ artificial tears', 'soothe dry eyes']",,,2
propylene glycol; macrogol,,,,['rhinaris nasal mist'],,,1
propylthiouracil,,,['propylthiouracil'],"['halycil', 'propylthiouracil tablets']",,,3
protamine sulfate,,,,['protamine sulfate injection usp'],,,1
protease; amylase; lipase,,,,"['creon minimicrospheres micro', 'pancrease mt 2']",,,2
protease; lipase; amylase,,,,['viokace'],,,1
protein c; protein s; coagulation factor vii (human); coagulation factor x (human); coagulation factor ix (human); coagulation factor ii (human),,,,['beriplex p/n 1000'],,,1
protriptyline hydrochloride,,,"['protriptyline hydrochloride', 'vivactil']",,,,2
prucalopride,['resotrans'],['resolor'],['prucalopride'],,,,3
prucalopride (prucalopride succinate),,,,"['apo-prucalopride', 'jamp prucalopride', 'nra-prucalopride', 'resotran']",,,4
prucalopride succinate,,,"['motegrity', 'prucalopride succinate']",,,,2
pseudoephedrine hydrochloride,,,['pseudoephedrine hydrochloride'],,,,1
pseudoephedrine hydrochloride; acetaminophen,,,,"['cold and sinus daytime relief', 'extra strength head cold and sinus', 'sinus medication daytime relief']",,,3
pseudoephedrine hydrochloride; acetaminophen; chlorpheniramine maleate,,,,"[""children's tylenol cold""]",,,1
pseudoephedrine hydrochloride; acetaminophen; chlorpheniramine maleate; dextromethorphan hydrobromide; guaifenesin,,,,"['extra strength tylenol complete cold, cough & flu plus mucus relief nighttime']",,,1
pseudoephedrine hydrochloride; acetaminophen; dextromethorphan hydrobromide,,,,['buckleys cold & sinus'],,,1
pseudoephedrine hydrochloride; acetaminophen; diphenhydramine hydrochloride,,,,"['nighttime flu, cough & cold complete relief extra strength']",,,1
pseudoephedrine hydrochloride; acetaminophen; doxylamine succinate,,,,['sinus medication day & night'],,,1
pseudoephedrine hydrochloride; acetaminophen; guaifenesin; dextromethorphan hydrobromide,,,,"['tylenol complete cold, cough & flu plus mucus relief']",,,1
pseudoephedrine hydrochloride; acetaminophen; guaifenesin; dextromethorphan hydrobromide; diphenhydramine hydrochloride,,,,['cold & flu-in-one'],,,1
pseudoephedrine hydrochloride; cetirizine hydrochloride,,,,['reactine complete'],,,1
pseudoephedrine hydrochloride; chlorpheniramine maleate; ibuprofen,,,,['cold + sinus plus'],,,1
pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen,,,,"[""buckley's complete extra strength cough, cold & flu day""]",,,1
pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen; chlorpheniramine maleate,,,,"[""children's tylenol complete cold, cough & fever""]",,,1
pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen; doxylamine succinate; guaifenesin,,,,"[""buckley's complete 24 hour pack""]",,,1
pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen; guaifenesin,,,,"['benylin extra strength all-in-one cough, cold & flu']",,,1
pseudoephedrine hydrochloride; dextromethorphan hydrobromide; guaifenesin; acetaminophen,,,,"['benylin extra strength mucus & phlegm plus cold relief', ""buckley's complete + mucus relief"", 'complete daytime liquid capsules']",,,3
pseudoephedrine hydrochloride; diphenhydramine hydrochloride; acetaminophen,,,,"['benylin extra strength all-in-one cold, flu & cough night', 'extra strength sinutab sinus nighttime']",,,2
pseudoephedrine hydrochloride; guaifenesin; acetaminophen; dextromethorphan hydrobromide,,,,"['extra strength tylenol complete cold, cough & flu daytime']",,,1
pseudoephedrine hydrochloride; ibuprofen,,,,['advil cold & sinus liqui-gels'],,,1
pseudoephedrine hydrochloride; ibuprofen; chlorpheniramine maleate,,,,['cold + sinus daytime cold + sinus nighttime'],,,1
pseudoephedrine hydrochloride; triprolidine hydrochloride; codeine phosphate,,,,['teva-cotridin'],,,1
pseudoephedrine sulfate; loratadine,,,,['claritin allergy + sinus extra strength'],,,1
"purified antigen fractions of inactivated split virion a/indonesia/05/2005 (h5n1), as03 adjuvanted",['prepandrix'],,,,,,1
purified water,,,['pur-wash'],,,,1
pyrantel (pyrantel pamoate),,,,"['jamp-pyrantel pamoate', 'jamp-pyrantel pamoate suspension', 'riva-pyrantel pamoate']",,,3
pyrazinamide,,,['pyrazinamide'],,,,1
pyrethrins; piperonyl butoxide,,,,['r & c shampoo with conditioner'],,,1
pyridostigmine bromide,,,['pyridostigmine bromide'],"['jamp pyridostigmine bromide', 'riva-pyridostigmine']",,,3
pyridoxine hydrochloride,,,['pyridoxine hydrochloride'],"['pyridoxine hydrochloride injection, usp']",,,2
pyridoxine hydrochloride; doxylamine succinate,,,,"['alog-doxylamine/pyridoxine', 'apo-doxylamine/b6', 'pms-doxylamine-pyridoxine']",,,3
pyrilamine maleate; acetaminophen; pamabrom,,,,['midol pms'],,,1
pyrimethamine,,,['pyrimethamine'],,,,1
pyrithione zinc,,,,"['anti-dandruff 2 in 1', 'anti-dandruff antipelliculaire 2 in 1', 'anti-dandruff hydrating conditioner', 'anti-dandruff hydrating shampoo', 'bare minimal ingredients shampoo pure clean', 'bare minimal ingredients shampoo soothing hydration', 'cleansing nettoyant dandruff pyrithione zinc shampoo', 'dove derma+care scalp anti-dandruff dryness & itch relief', 'dove men+care derma+care scalp anti-dandruff dryness & itch relief 2 in 1', 'dove men+care derma+care scalp anti-dandruff gentle clean 2 in 1', 'dove men+care fortifying shampoo + conditioner anti-dandruff 2 in 1', 'green apple pomme verte dandruff pyrithione zinc shampoo', 'green apple pomme verte dandruff pyrithione zinc shampoo & conditioner', 'head & shoulders pyrithione zinc dandruff conditioner classic clean', 'head & shoulders pyrithione zinc dandruff conditioner dry scalp care', 'head & shoulders pyrithione zinc dandruff conditioner green apple', 'head & shoulders pyrithione zinc dandruff conditioner smooth & silky', 'head & shoulders pyrithione zinc dandruff shampoo deep moisture', 'head & shoulders pyrithione zinc dandruff shampoo deep moisture 2in1', 'itch relief scalp mist', 'original / originale dandruff pyrithione zinc shampoo & conditioner', 'pyrithione zinc dandruff conditioner sulfate free shea butter', 'pyrithione zinc dandruff conditioner suprême clarify & volumize', 'pyrithione zinc dandruff conditioner suprême colour protect', 'pyrithione zinc dandruff conditioner suprême nourish', 'pyrithione zinc dandruff conditioner suprême purify & hydrate', 'pyrithione zinc dandruff shampoo 2in1 men eucalyptus & neem', 'pyrithione zinc dandruff shampoo 2in1 men full & thick', 'pyrithione zinc dandruff shampoo 2in1 men lavender mint', 'pyrithione zinc dandruff shampoo 2in1 men refreshing menthol', 'pyrithione zinc dandruff shampoo 2in1 men sandalwood', 'pyrithione zinc dandruff shampoo and conditioner classic clean 2 in 1', 'pyrithione zinc dandruff shampoo apple cider vinegar', 'pyrithione zinc dandruff shampoo avocado oil', 'pyrithione zinc dandruff shampoo avocado oil 2in1', 'pyrithione zinc dandruff shampoo citrus', 'pyrithione zinc dandruff shampoo citrus breeze', 'pyrithione zinc dandruff shampoo classic clean', 'pyrithione zinc dandruff shampoo classic clean 2in1', 'pyrithione zinc dandruff shampoo deep scalp cleanse', 'pyrithione zinc dandruff shampoo deep scalp cleanse 2in1', 'pyrithione zinc dandruff shampoo deep scalp hydration', 'pyrithione zinc dandruff shampoo deep scalp hydration 2in1', 'pyrithione zinc dandruff shampoo dry scalp care', 'pyrithione zinc dandruff shampoo dry scalp care 2in1', 'pyrithione zinc dandruff shampoo ginger 2in1', 'pyrithione zinc dandruff shampoo green apple', 'pyrithione zinc dandruff shampoo green apple 2in1', 'pyrithione zinc dandruff shampoo hydrating coconut', 'pyrithione zinc dandruff shampoo hydrating coconut 2in1', 'pyrithione zinc dandruff shampoo itchy scalp care', 'pyrithione zinc dandruff shampoo itchy scalp care 2in1', 'pyrithione zinc dandruff shampoo lemon oil 2in1', 'pyrithione zinc dandruff shampoo men 2in1 fiji', 'pyrithione zinc dandruff shampoo men 2in1 pure sport', 'pyrithione zinc dandruff shampoo men 2in1 swagger', 'pyrithione zinc dandruff shampoo men pure sport', 'pyrithione zinc dandruff shampoo men refreshing menthol', 'pyrithione zinc dandruff shampoo men swagger', 'pyrithione zinc dandruff shampoo refresh', 'pyrithione zinc dandruff shampoo scalp care', 'pyrithione zinc dandruff shampoo smooth & silky', 'pyrithione zinc dandruff shampoo smooth & silky 2in1', 'pyrithione zinc dandruff shampoo sulfate free shea butter', 'pyrithione zinc dandruff shampoo suprême clarify & volumize', 'pyrithione zinc dandruff shampoo suprême colour protect', 'pyrithione zinc dandruff shampoo suprême nourish', 'pyrithione zinc dandruff shampoo suprême purify & hydrate', 'pyrithione zinc dandruff shampoo tea tree oil', 'scalp calming treatment', 'scalp relief', 'scalpsync anti-dandruff', 'selsun blue anti-dandruff shampoo', 'tea tree oil 2in1']",,,74
quadrivalent human papillomavirus recombinant vaccine,['gardasil'],,,,,,1
quadrivalent influenza vaccine,['flucelvax quad'],,,,,,1
quetiapine,"['seroquel, seroquel xr']",,,,,,1
quetiapine (quetiapine fumarate),,,,"['ach-quetiapine', 'ach-quetiapine fumarate xr', 'act quetiapine', 'ag-quetiapine', 'ag-quetiapine fumarate', 'ag-quetiapine xr', 'apo-quetiapine fumarate', 'apo-quetiapine xr', 'auro-quetiapine', 'bio-quetiapine', 'jamp quetiapine fumarate', 'jamp-quetiapine', 'm-quetiapine fumarate xr', 'mint-quetiapine', 'mint-quetiapine xr', 'nat-quetiapine', 'nra-quetiapine', 'nra-quetiapine xr', 'pms-quetiapine', 'pro-quetiapine', 'quetiapine', 'quetiapine fumarate xr', 'quetiapine xr', 'riva-quetiapine', 'sandoz quetiapine xrt', 'seroquel', 'seroquel xr', 'teva-quetiapine xr']",,,28
quetiapine fumarate,,,"['quetiapine fumarate', 'seroquel', 'seroquel xr']",,,,3
quinapril (quinapril hydrochloride),,,,"['jamp quinapril', 'pms-quinapril']",,,2
quinapril (quinapril hydrochloride); hydrochlorothiazide,,,,['auro-quinapril hctz'],,,1
quinapril hydrochloride,,,['quinapril hydrochloride'],,,,1
quinestrol,,,['estrovis'],,,,1
quinidine gluconate,,,['quinidine gluconate'],,,,1
quinine sulfate,,,"['qualaquin', 'quinine sulfate']","['pro-quinine - 200', 'pro-quinine - 300', 'quinine - odan']",,,5
quinupristin,,,['synercid'],,,,1
quizartinib,,['vanflyta'],,,,,1
quizartinib dihydrochloride,,,['vanflyta'],,,,1
quizartinib hydrochloride,,,,,['vanflyta'],,1
rabeprazole sodium,,,"['aciphex', 'aciphex sprinkle', 'rabeprazole sodium']","['jamp rabeprazole', 'pariet, enteric-coated tablet 10mg', 'pariet, enteric-coated tablet 20mg', 'rabeprazole', 'rabeprazole ec', 'sandoz rabeprazole']",,,9
rabies immunoglobulin,['kamrab'],,,,,,1
rabies immunoglobulin (human),,,,"['hyperrab', 'kamrab']",,,2
radamts13,,['adzynma'],,,,,1
radium dichloride,['xofigo'],,,,,,1
radium ra-223 dichloride,,,['xofigo'],['xofigo'],,,1
radium ra223 dichloride,,['xofigo'],,,,,1
raloxifene,,['raloxifene teva'],,,,,1
raloxifene hydrochloride,,"['evista', 'optruma']","['evista', 'raloxifene hydrochloride']","['act raloxifene', 'apo-raloxifene', 'evista', 'jamp raloxifene']",,,6
raltegravir,['isentress'],['isentress'],,,,,1
raltegravir (raltegravir potassium),,,,"['isentress', 'isentress hd']",,,2
raltegravir potassium,,['raltegravir viatris'],"['isentress', 'isentress; isentress hd', 'raltegravir potassium']",,['isentress'],,4
raltitrexed (raltitrexed),,,,['tomudex'],,,1
ramelteon,,['ramelteon'],"['ramelteon', 'rozerem']",,['rozerem'],,2
ramipril,,,"['altace', 'ramipril']","['ag-ramipril', 'altace', 'apo-ramipril', 'auro-ramipril', 'jamp-ramipril', 'mar-ramipril', 'mint-ramipril', 'nra-ramipril', 'pharma-ramipril', 'pro-ramipril - 1.25', 'pro-ramipril - 10', 'pro-ramipril - 2.5', 'pro-ramipril - 5', 'ramipril', 'taro-ramipril', 'teva-ramipril']",,,16
ramipril; hydrochlorothiazide,,,,"['altace hct', 'pms-ramipril-hctz', 'taro-ramipril hctz']",,,3
ramosetron hydrochloride,,,,,['irribow'],,1
ramucirumab,,['cyramza'],['cyramza'],['cyramza'],['cyramza'],,1
ranibizumab,"['byooviz', 'lucentis', 'raniviz']","['byooviz', 'lucentis', 'ranibizumab midas', 'ranivisio', 'rimmyrah', 'ximluci']","['lucentis', 'susvimo']","['byooviz', 'lucentis', 'ranopto']",,,9
ranibizumab-eqrn,,,['cimerli'],,,,1
ranibizumab-nuna,,,['byooviz'],,,,1
ranitidine,,,['ranitidine'],,,,1
ranitidine (ranitidine hydrochloride),,,,"['mar-ranitidine', 'maximum strength acid reducer without prescription', 'mint-ranitidine']",,,3
ranitidine hydrochloride,,,"['ranitidine hydrochloride', 'zantac 150', 'zantac 75']",,,,3
ranolazine,['ranexa'],['latixa'],"['aspruzyo sprinkle', 'ranexa', 'ranolazine']",['corzyna'],,,5
rapacuronium bromide,,,['raplon'],,,,1
rasagiline,['azilect'],"['rasagiline mylan', 'rasagiline ratiopharm']",,,,,3
rasagiline (rasagiline mesylate),,,,"['apo-rasagiline', 'azilect', 'jamp rasagiline', 'teva-rasagiline']",,,4
rasagiline mesylate,,,"['azilect', 'rasagiline mesylate']",,,,2
rasburicase,,,['elitek'],['fasturtec'],['rasuritek'],,3
ravulizumab,['ultomiris'],['ultomiris'],,['ultomiris'],,['ultomiris'],1
ravulizumab-cwvz,,,['ultomiris'],,,,1
ravulizumabum,,,,,,['ultomiris'],1
raxibacumab,,,['raxibacumab'],,,,1
raxtozinameran,['comirnaty omicron xbb.1.5'],,,,,,1
rdesat-6 / rcfp-10,,['siiltibcy'],,,,,1
"reassortant live attenuated influenza virus strains of types a/h1n1, a/h3n2, b/yamagata and b/victoria",,,,,,['fluenz tetra'],1
recombinant adsorbed bivalent human papillomavirus-like particle vaccine,,,,,['cervarix'],,1
recombinant coagulation factor ix (trenonacog alfa),,['ixinity'],,,,,1
recombinant coronavirus (sars-cov-2) vaccine,,,,,['nuvaxovid'],,1
recombinant human c1 inhibitor,,['rhucin'],,,,,1
"recombinant human coagulation factor ix, fc fusion protein",,,,['alprolix'],,,1
recombinant human interferon-alfa-2a,,['alpheon'],,,,,1
recombinant human papillomavirus type 18 l1 protein; recombinant human papillomavirus type 16 l1 protein,,,,['cervarix'],,,1
recombinant human papillomavirus type 45 l1 protein; recombinant human papillomavirus type 16 l1 protein; recombinant human papillomavirus type 33 l1 protein; recombinant human papillomavirus type 52 l1 protein; recombinant human papillomavirus type 6 l1 protein; recombinant human papillomavirus type 31 l1 protein; recombinant human papillomavirus type 58 l1 protein; recombinant human papillomavirus type 11 l1 protein; recombinant human papillomavirus type 18 l1 protein,,,,['gardasil 9'],,,1
recombinant respiratory syncytial virus pre-fusion f protein,['arexvy'],,,,,,1
recombinant varicella zoster virus glycoprotein e antigen,['shingrix'],,,,,,1
regadenoson,,['rapiscan'],"['lexiscan', 'regadenoson']",,,,3
regdanvimab,['regkirona'],['regkirona'],,,,['regkirona'],1
regorafenib,['stivarga'],['stivarga'],"['regorafenib', 'stivarga']",['stivarga'],['stivarga'],,2
"relatlimab, nivolumab",,,,,,['opdualag'],1
relugolix,,['orgovyx'],['orgovyx'],['orgovyx'],['relumina'],,2
relugolix / estradiol / norethisterone acetate,,['ryeqo'],,,,,1
"relugolix, estradiol as estradiol hemihydrate, norethisterone acetate",,,,,,['ryeqo'],1
remdesivir,['veklury'],['veklury'],['veklury'],['veklury'],['veklury'],['veklury'],1
remestemcel-l,['prochymal'],,,,,,1
remifentanil,['ultiva'],,,,,,1
remifentanil (remifentanil hydrochloride),,,,['remifentanil hydrochloride for injection'],,,1
remifentanil hydrochloride,,,"['remifentanil hydrochloride', 'ultiva']",,,,2
remimazolam,,['byfavo'],,,,,1
remimazolam besylate,,,['byfavo'],,,,1
repaglinide,,"['enyglid', 'repaglinide accord', 'repaglinide krka', 'repaglinide teva']","['prandin', 'repaglinide']","['auro-repaglinide', 'jamp repaglinide', 'repaglinide', 'sandoz repaglinide']",,,9
repository corticotropin,,,['h.p. acthar gel'],,,,1
repotrectinib,,['augtyro'],['augtyro'],,,,1
reslizumab,['cinqair / cinqaero'],['cinqaero'],['cinqair'],['cinqair'],,,3
resmetirom,,,['rezdiffra'],,,,1
respiratory syncytial virus (rsv) pre-fusion f protein,,,,,,['arexvy'],1
"respiratory syncytial virus (rsv) vaccine (recombinant, adjuvanted)",,['arexvy'],,,,,1
respiratory syncytial virus f protein,['mresvia'],,,,,,1
respiratory syncytial virus prefusion f protein (rsvpref3),,,,['arexvy'],,,1
"respiratory syncytial virus vaccine (bivalent, recombinant)",,['abrysvo'],,,,,1
retapamulin,['altargo'],,['altabax'],,,,2
reteplase,,['rapilysin'],['retavase'],,,,2
retifanlimab,,['zynyz'],,,,,1
retifanlimab-dlwr,,,['zynyz'],,,,1
retigabine,['trobalt'],['trobalt'],,,,,1
revefenacin,,,"['revefenacin', 'yupelri']",,,,2
revumenib citrate,,,['revuforj'],,,,1
rezafungin,,['rezzayo'],,,,,1
rezafungin acetate,,,['rezzayo'],,,,1
ribavirin,,"['rebetol', 'ribavirin biopartners', 'ribavirin teva', 'ribavirin teva pharma b.v.', 'ribavirin three rivers']","['copegus', 'rebetol', 'ribasphere', 'ribavirin']",['virazole'],"['copegus', 'rebetol']",,9
ribociclib,,['kisqali'],['ribociclib'],,,,2
ribociclib (ribociclib succinate),,,,['kisqali'],,,1
ribociclib succinate,['kisqali'],,['kisqali'],,,,1
riboflavin 5'-phosphate,,,['photrexa; photrexa viscous in dextran 20%'],,,,1
ridaforolimus,,['jenzyl'],,,,,1
rifabutin,,,['rifabutin'],['mycobutin'],,,2
rifampin,,,['rifampin'],,,,1
rifamycin sodium,,,['aemcolo'],,,,1
rifapentine,,,['priftin'],,,,1
rifaximin,['xifaxan'],,"['rifaximin', 'xifaxan']",['zaxine'],,,3
rilonacept,,['arcalyst'],['arcalyst'],,,,1
rilpivirine,['edurant'],"['edurant', 'rekambys']",['rilpivirine'],,,,3
rilpivirine (rilpivirine hydrochloride),,,,['edurant'],,,1
rilpivirine (rilpivirine hydrochloride); dolutegravir (dolutegravir sodium),,,,['juluca'],,,1
rilpivirine hydrochloride,,,"['edurant', 'edurant ped']",,,,2
riluzole,,"['rilutek', 'riluzole zentiva']","['exservan', 'rilutek', 'riluzole', 'tiglutik kit']","['apo-riluzole', 'mylan-riluzole', 'rilutek']",,,7
rimantadine hydrochloride,,,['rimantadine hydrochloride'],,,,1
rimegepant,['nurtec odt'],['vydura'],,,,['vydura'],2
rimegepant (rimegepant sulfate),,,,['nurtec odt'],,,1
rimegepant sulfate,,,['nurtec odt'],,,,1
riociguat,['adempas'],['adempas'],"['adempas', 'riociguat']","['adempas', 'sandoz riociguat']",['adempas'],,3
ripretinib,['qinlock'],['qinlock'],['qinlock'],['qinlock'],,['qinlock'],1
risankizumab,['skyrizi'],['skyrizi'],,['skyrizi'],['skyrizi'],,1
risankizumab-rzaa,,,['skyrizi'],,,,1
risdiplam,['evrysdi'],['evrysdi'],['evrysdi'],['evrysdi'],,['evrysdi'],1
risedronate sodium,,,"['actonel', 'atelvia', 'risedronate sodium']",,,,3
risedronate sodium (risedronate sodium hemipentahydrate),,,,"['aa-risedronate dr', 'actonel', 'actonel dr', 'apo-risedronate', 'auro-risedronate', 'pms-risedronate', 'risedronate', 'riva-risedronate', 'sandoz risedronate']",,,9
risedronate sodium (risedronate sodium monohydrate),,,,"['risedronate', 'teva-risedronate']",,,2
risperidone,['risperdal consta'],['okedi'],"['perseris kit', 'risperdal', 'risperdal consta', 'risperidone', 'risvan', 'rykindo', 'uzedy']","['apo-risperidone', 'jamp-risperidone', 'mar-risperidone', 'mint-risperidon', 'pms-risperidone', 'pro-risperidone', 'risperdal consta', 'risperidone', 'riva-risperidone', 'sandoz risperidone', 'taro-risperidone', 'teva-risperidone']",['risperdal'],,18
risperidone (risperidone tartrate),,,,"['jamp-risperidone', 'pms-risperidone']",,,2
ritlecitinib,['litfulo'],['litfulo'],,,,,1
ritlecitinib (ritlecitinib tosylate),,,,['litfulo'],,,1
ritlecitinib tosilate,,,,,['litfulo'],,1
ritlecitinib tosylate,,,['litfulo'],,,,1
ritonavir,,['ritonavir mylan'],"['norvir', 'ritonavir']","['auro-ritonavir', 'norvir']",,,4
ritonavir; lopinavir,,,,['kaletra'],,,1
ritonavir; nirmatrelvir,,,,['paxlovid'],,,1
rituximab,"['mabthera', 'mabthera sc', 'riximyo', 'ruxience', 'truxima; ritemvia']","['blitzima', 'ituxredi', 'mabthera', 'ritemvia', 'rituximab mabion', 'rixathon', 'riximyo', 'ruxience', 'truxima', 'tuxella']","['rituxan', 'rituxan hycela']","['rituxan', 'rituxan sc', 'riximyo', 'ruxience', 'truxima']",['rituxan'],,15
rituximab-abbs,,,['truxima'],,,,1
rituximab-arrx,,,['riabni'],,,,1
rituximab-pvvr,,,['ruxience'],,,,1
rivaroxaban,['xarelto'],"['rivaroxaban accord', 'rivaroxaban mylan', 'xarelto']","['rivaroxaban', 'xarelto']","['ag-rivaroxaban', 'apo-rivaroxaban', 'jamp rivaroxaban', 'pms-rivaroxaban', 'pro-rivaroxaban', 'reddy-rivaroxaban', 'riva rivaroxaban', 'rivaroxaban', 'sandoz rivaroxaban', 'taro-rivaroxaban', 'teva-rivaroxaban', 'xarelto']",['xarelto'],,14
rivastigmine,,"['nimvastid', 'rivastigmine 3m health care ltd', 'rivastigmine actavis', 'rivastigmine hexal', 'rivastigmine sandoz', 'rivastigmine teva']","['exelon', 'rivastigmine']","['exelon patch 10', 'exelon patch 15', 'exelon patch 5', 'mylan-rivastigmine patch 10', 'mylan-rivastigmine patch 5', 'sandoz rivastigmine patch 10', 'sandoz rivastigmine patch 5']",,,15
rivastigmine (rivastigmine hydrogen tartrate),,,,"['apo-rivastigmine', 'exelon', 'jamp rivastigmine', 'med-rivastigmine', 'rivastigmine', 'sandoz rivastigmine']",,,6
rivastigmine tartrate,,,"['exelon', 'rivastigmine', 'rivastigmine tartrate']",,,,3
