Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
INTRAMUSCULAR,MARKETED,88676,APPROVED,07.02.2013,2013,AREPANRIX H5N1,ID BIOMEDICAL CORPORATION OF QUEBEC,ID Biomed,02401886,HAEMAGGLUTININ-STRAIN A (H5N1),Vaccine,EMULSION,88676,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88676
ORAL,MARKETED,88677,APPROVED,22.02.2013,2013,JAMP-FLUOXETINE,JAMP PHARMA CORPORATION,JAMP,02401894,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),Small molecule,CAPSULE,88677,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88677
TOPICAL,MARKETED,88679,MARKETED,08.04.2013,2013,BARE SKIN FEEL UV LOTION,VICHY CANADA,Vichy,02401916,DROMETRIZOLE TRISILOXANE; AVOBENZONE; OCTISALATE; OCTOCRYLENE; TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID; HOMOSALATE,Small molecule,LOTION,88679,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88679
ORAL,MARKETED,88684,APPROVED,28.05.2013,2013,TRI-CIRA LO 21,APOTEX INC,Apotex,02401967,NORGESTIMATE; ETHINYL ESTRADIOL,Small molecule,TABLET,88684,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88684
ORAL,MARKETED,88685,APPROVED,28.05.2013,2013,TRI-CIRA LO 28,APOTEX INC,Apotex,02401975,ETHINYL ESTRADIOL; NORGESTIMATE,Small molecule,TABLET,88685,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88685
INTRAVENOUS,MARKETED,88689,APPROVED,11.02.2013,2013,NAF PLUS,ISOLOGIC INNOVATIVE RADIOPHARMACEUTICALS LTD.,Isologic,02402017,SODIUM FLUORIDE F 18,Other,SOLUTION,88689,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88689
ORAL,MARKETED,88690,APPROVED,14.02.2013,2013,LETROZOLE,PRO DOC LIMITEE,PRO DOC,02402025,LETROZOLE,Small molecule,TABLET,88690,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88690
INTRAVENOUS,MARKETED,88693,APPROVED,06.03.2013,2013,PIPERACILLIN AND TAZOBACTAM FOR INJECTION,AURO PHARMA INC,Auro,02402068,PIPERACILLIN (PIPERACILLIN SODIUM); TAZOBACTAM (TAZOBACTAM SODIUM),Small molecule,POWDER FOR SOLUTION,88693,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88693
INTRAVENOUS,MARKETED,88694,APPROVED,06.03.2013,2013,PIPERACILLIN AND TAZOBACTAM FOR INJECTION,AURO PHARMA INC,Auro,02402076,PIPERACILLIN (PIPERACILLIN SODIUM); TAZOBACTAM (TAZOBACTAM SODIUM),Small molecule,POWDER FOR SOLUTION,88694,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88694
INTRAVENOUS,MARKETED,88695,APPROVED,06.03.2013,2013,PIPERACILLIN AND TAZOBACTAM FOR INJECTION,AURO PHARMA INC,Auro,02402084,TAZOBACTAM (TAZOBACTAM SODIUM); PIPERACILLIN (PIPERACILLIN SODIUM),Small molecule,POWDER FOR SOLUTION,88695,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88695
ORAL,MARKETED,88696,APPROVED,27.12.2013,2013,MAR-DONEPEZIL,MARCAN PHARMACEUTICALS INC,Marcan,02402092,DONEPEZIL HYDROCHLORIDE,Small molecule,TABLET,88696,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88696
ORAL,MARKETED,88697,APPROVED,27.12.2013,2013,MAR-DONEPEZIL,MARCAN PHARMACEUTICALS INC,Marcan,02402106,DONEPEZIL HYDROCHLORIDE,Small molecule,TABLET,88697,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88697
TOPICAL,MARKETED,88698,MARKETED,20.05.2013,2013,CLINIQUE MOISTURE SURGE CC CREAM HYDRATING COLOUR CORRECTOR SPF 30,CLINIQUE LABORATORIES DIST,Clinique,02402114,ZINC OXIDE; OCTINOXATE; TITANIUM DIOXIDE; OCTISALATE,Other,CREAM,88698,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88698
TOPICAL,MARKETED,88701,MARKETED,15.11.2013,2013,ACNE TREATMENT SYSTEM,VIVIER CANADA INCORPORATED,Vivier,02402149,SALICYLIC ACID; BENZOYL PEROXIDE,Small molecule,LOTION; KIT; LIQUID,88701,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88701
TOPICAL,MARKETED,88702,MARKETED,29.05.2013,2013,SPF 60 ANTHELIOS XL LOTION,LABORATOIRES LA ROCHE-POSAY CANADA,La Roche-Posay,02402157,TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID; OCTISALATE; OCTOCRYLENE; AVOBENZONE; DROMETRIZOLE TRISILOXANE; HOMOSALATE,Small molecule,LOTION,88702,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88702
