Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,MARKETED,99773,APPROVED,23.11.2020,2020,JAMP PYRIDOSTIGMINE BROMIDE,JAMP PHARMA CORPORATION,JAMP,02508362,PYRIDOSTIGMINE BROMIDE,Small molecule,TABLET,99773,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99773
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,99778,APPROVED,23.11.2020,2020,HYOSCINE BUTYLBROMIDE INJECTION BP,OMEGA LABORATORIES LIMITED,Omega,02508419,HYOSCINE BUTYLBROMIDE,Small molecule,SOLUTION,99778,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99778
ORAL,MARKETED,99781,APPROVED,24.11.2020,2020,JAMP LEVOFLOXACIN,JAMP PHARMA CORPORATION,JAMP,02508443,LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE),Small molecule,TABLET,99781,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99781
ORAL,MARKETED,99782,APPROVED,24.11.2020,2020,JAMP LEVOFLOXACIN,JAMP PHARMA CORPORATION,JAMP,02508451,LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE),Small molecule,TABLET,99782,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99782
ORAL,MARKETED,99783,APPROVED,24.11.2020,2020,JAMP LEVOFLOXACIN,JAMP PHARMA CORPORATION,JAMP,02508478,LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE),Small molecule,TABLET,99783,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99783
OPHTHALMIC,MARKETED,99796,APPROVED,04.03.2021,2021,MINT-OLOPATADINE 0.2%,MINT PHARMACEUTICALS INC,MINT,02508605,OLOPATADINE (OLOPATADINE HYDROCHLORIDE),Small molecule,SOLUTION,99796,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99796
INTRAVESICAL,MARKETED,99797,APPROVED,24.12.2020,2020,VERITY-BCG,VERITY PHARMACEUTICALS INC.,Verity,02508613,BACILLUS CALMETTE-GUÉRIN (BCG) - STRAIN RUSSIAN BCG-I,Vaccine,POWDER FOR SUSPENSION,99797,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99797
ORAL,MARKETED,99800,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE,APOTEX INC,Apotex,02508656,SITAGLIPTIN (SITAGLIPTIN MALATE),Small molecule,TABLET,99800,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99800
ORAL,MARKETED,99801,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE,APOTEX INC,Apotex,02508664,SITAGLIPTIN (SITAGLIPTIN MALATE),Small molecule,TABLET,99801,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99801
ORAL,MARKETED,99802,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE,APOTEX INC,Apotex,02508672,SITAGLIPTIN (SITAGLIPTIN MALATE),Small molecule,TABLET,99802,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99802
ORAL,MARKETED,99807,APPROVED,30.11.2020,2020,BIO-TADALAFIL,BIOMED PHARMA,Biomed,02508729,TADALAFIL,Small molecule,TABLET,99807,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99807
TOPICAL,MARKETED,99809,APPROVED,25.11.2020,2020,ACNE FOAMING CLEANSER,CERAVE CANADA,Not Reported,02508745,BENZOYL PEROXIDE,Small molecule,GEL,99809,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99809
ORAL,MARKETED,99811,APPROVED,27.11.2020,2020,CLARITIN KIDS RAPID DISSOLVE,BAYER INC,Bayer,02508761,LORATADINE,Small molecule,TABLET (ORALLY DISINTEGRATING),99811,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99811
ORAL,MARKETED,99822,APPROVED,27.11.2020,2020,JAMP ESCITALOPRAM,JAMP PHARMA CORPORATION,JAMP,02508893,ESCITALOPRAM (ESCITALOPRAM OXALATE),Small molecule,TABLET,99822,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99822
ORAL,MARKETED,99823,APPROVED,27.11.2020,2020,JAMP ESCITALOPRAM,JAMP PHARMA CORPORATION,JAMP,02508907,ESCITALOPRAM (ESCITALOPRAM OXALATE),Small molecule,TABLET,99823,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99823
ORAL,MARKETED,99838,APPROVED,01.12.2020,2020,ACH-METHOTREXATE,ACCORD HEALTHCARE INC,Accord,02509067,METHOTREXATE (METHOTREXATE DISODIUM),Small molecule,TABLET,99838,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99838
INTRAVENOUS; SUBCUTANEOUS,MARKETED,99839,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509075,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99839,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99839
SUBCUTANEOUS; INTRAVENOUS,MARKETED,99840,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509083,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99840,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99840
SUBCUTANEOUS; INTRAVENOUS,MARKETED,99841,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509091,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99841,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99841
SUBCUTANEOUS; INTRAVENOUS,MARKETED,99842,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",Techdow,02509105,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99842,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99842
SUBCUTANEOUS; INTRAVENOUS,MARKETED,99843,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509113,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99843,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99843
SUBCUTANEOUS; INTRAVENOUS,MARKETED,99844,APPROVED,07.12.2020,2020,REDESCA,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",Techdow,02509121,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99844,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99844
INTRAVENOUS; SUBCUTANEOUS,MARKETED,99845,APPROVED,07.12.2020,2020,REDESCA HP,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509148,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION,99845,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99845
INTRAVENOUS; SUBCUTANEOUS,MARKETED,99846,APPROVED,07.12.2020,2020,REDESCA HP,"SHENZHEN TECHDOW PHARMACEUTICAL CO., LTD.",TECHDOW,02509156,ENOXAPARIN SODIUM,Biologics,SOLUTION,99846,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99846
TOPICAL,MARKETED,99854,APPROVED,02.12.2020,2020,ULTRA LIGHT ADVANCED LOTION,OMBRELLE CANADA,Not Reported,02509237,AVOBENZONE; BEMOTRIZINOL; ENSULIZOLE; OCTOCRYLENE; OCTISALATE; DROMETRIZOLE TRISILOXANE; HOMOSALATE,Small molecule,LOTION,99854,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99854
INTRAVENOUS,MARKETED,99856,APPROVED,25.02.2021,2021,BENDAMUSTINE HYDROCHLORIDE FOR INJECTION,AURO PHARMA INC,Auro,02509253,BENDAMUSTINE HYDROCHLORIDE,Small molecule,POWDER FOR SOLUTION,99856,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99856
INTRAVENOUS,MARKETED,99857,APPROVED,25.02.2021,2021,BENDAMUSTINE HYDROCHLORIDE FOR INJECTION,AURO PHARMA INC,Auro,02509261,BENDAMUSTINE HYDROCHLORIDE,Small molecule,POWDER FOR SOLUTION,99857,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99857
ORAL,MARKETED,99871,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE / METFORMIN HYDROCHLORIDE,APOTEX INC,Apotex,02509415,SITAGLIPTIN (SITAGLIPTIN MALATE); METFORMIN HYDROCHLORIDE,Small molecule,TABLET,99871,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99871
ORAL,MARKETED,99872,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE / METFORMIN HYDROCHLORIDE,APOTEX INC,Apotex,02509423,SITAGLIPTIN (SITAGLIPTIN MALATE); METFORMIN HYDROCHLORIDE,Small molecule,TABLET,99872,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99872
ORAL,MARKETED,99873,APPROVED,24.10.2022,2022,APO-SITAGLIPTIN MALATE / METFORMIN HYDROCHLORIDE,APOTEX INC,Apotex,02509431,SITAGLIPTIN (SITAGLIPTIN MALATE); METFORMIN HYDROCHLORIDE,Small molecule,TABLET,99873,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99873
SUBCUTANEOUS,MARKETED,99876,APPROVED,15.12.2020,2020,AJOVY,TEVA CANADA LIMITED,TEVA,02509474,FREMANEZUMAB,Biologics,SOLUTION,99876,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99876
ORAL,MARKETED,99887,APPROVED,10.12.2020,2020,JAMP PILOCARPINE,JAMP PHARMA CORPORATION,JAMP,02509571,PILOCARPINE HYDROCHLORIDE,Small molecule,TABLET,99887,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99887
ORAL,MARKETED,99889,APPROVED,11.12.2020,2020,OLMESARTAN/HCTZ,SANIS HEALTH INC,Sanis,02509601,HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,Small molecule,TABLET,99889,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99889
ORAL,MARKETED,99890,APPROVED,11.12.2020,2020,OLMESARTAN/HCTZ,SANIS HEALTH INC,Sanis,02509628,HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,Small molecule,TABLET,99890,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99890
ORAL,MARKETED,99891,APPROVED,11.12.2020,2020,OLMESARTAN/HCTZ,SANIS HEALTH INC,Sanis,02509636,HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,Small molecule,TABLET,99891,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99891
ORAL,MARKETED,99896,APPROVED,15.12.2020,2020,MINT-FROVATRIPTAN,MINT PHARMACEUTICALS INC,MINT,02509687,FROVATRIPTAN (FROVATRIPTAN SUCCINATE),Small molecule,TABLET,99896,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99896
INTRAVENOUS,MARKETED,99897,APPROVED,15.12.2020,2020,ZOLGENSMA,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02509695,ONASEMNOGENE ABEPARVOVEC,Cell and gene therapy,SOLUTION,99897,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99897
TOPICAL (HOUSEHOLD),MARKETED,99900,APPROVED,14.12.2020,2020,VINDA ANTISEPTIC WIPES,GRAND OCEAN INTERNATIONAL TRADING LTD,Grand Ocean,02509717,BENZETHONIUM CHLORIDE,Small molecule,WIPE,99900,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99900
SUBCUTANEOUS,MARKETED,99902,APPROVED,17.12.2020,2020,INCRELEX,IPSEN BIOPHARMACEUTICALS CANADA INC,Ipsen,02509733,MECASERMIN,Peptides and proteins,SOLUTION,99902,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99902
TOPICAL,MARKETED,99914,APPROVED,16.12.2020,2020,STUBBORN ACNE AM TREATMENT,JOHNSON & JOHNSON INC,Johnson & Johnson,02509865,BENZOYL PEROXIDE,Small molecule,GEL,99914,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99914
ORAL,MARKETED,99918,APPROVED,18.12.2020,2020,JAMP BUSPIRONE,JAMP PHARMA CORPORATION,JAMP,02509911,BUSPIRONE HYDROCHLORIDE,Small molecule,TABLET,99918,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99918
ORAL,MARKETED,99919,APPROVED,18.05.2021,2021,JAMP PIRFENIDONE,JAMP PHARMA CORPORATION,JAMP,02509938,PIRFENIDONE,Small molecule,CAPSULE,99919,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99919
ORAL,MARKETED,99923,APPROVED,22.12.2020,2020,AG-FAMOTIDINE,ANGITA PHARMA INC.,Angita,02509970,FAMOTIDINE,Small molecule,TABLET,99923,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99923
ORAL,MARKETED,99924,APPROVED,21.12.2020,2020,AG-FAMOTIDINE,ANGITA PHARMA INC.,Angita,02509989,FAMOTIDINE,Small molecule,TABLET,99924,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99924
ORAL,MARKETED,99929,APPROVED,22.12.2020,2020,BIO-CETIRIZINE,BIOMED PHARMA,BIOMED,02510030,CETIRIZINE HYDROCHLORIDE,Small molecule,TABLET,99929,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99929
SUBCUTANEOUS,MARKETED,99930,APPROVED,23.12.2020,2020,DUPIXENT,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02510049,DUPILUMAB,Biologics,SOLUTION,99930,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99930
TOPICAL,MARKETED,99932,APPROVED,21.12.2020,2020,COOLA CLEAR SUNSCREEN SPRAY TROPICAL COCONUT SCENT,COOLA LLC,COOLA,02510065,OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,"SPRAY, BAG-ON-VALVE",99932,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99932
TOPICAL,MARKETED,99933,APPROVED,21.12.2020,2020,ELTAMD SKINCARE UV CLEAR TINTED,"CP SKIN HEALTH GROUP, INC.",CP SKIN HEALTH,02510073,ZINC OXIDE; OCTINOXATE,Other,LOTION,99933,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99933
TOPICAL,MARKETED,99934,APPROVED,21.12.2020,2020,COOLA CLEAR SUNSCREEN SPRAY FRAGRANCE FREE,COOLA LLC,COOLA,02510081,AVOBENZONE; OCTISALATE; OCTOCRYLENE; HOMOSALATE,Small molecule,"SPRAY, BAG-ON-VALVE",99934,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99934
ORAL,MARKETED,99940,APPROVED,12.01.2021,2021,XARELTO,BAYER INC,Bayer,02510162,RIVAROXABAN,Small molecule,GRANULES FOR SUSPENSION,99940,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99940
ORAL,MARKETED,99941,APPROVED,12.01.2021,2021,XARELTO,BAYER INC,Bayer,02510170,RIVAROXABAN,Small molecule,GRANULES FOR SUSPENSION,99941,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99941
ORAL,MARKETED,99943,APPROVED,05.01.2021,2021,ONUREG,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02510197,AZACITIDINE,Small molecule,TABLET,99943,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99943
ORAL,MARKETED,99944,APPROVED,05.01.2021,2021,ONUREG,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02510200,AZACITIDINE,Small molecule,TABLET,99944,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99944
ORAL,MARKETED,99945,APPROVED,31.12.2020,2020,CORZYNA,KYE PHARMACEUTICALS INC.,KYE,02510219,RANOLAZINE,Small molecule,TABLET (EXTENDED-RELEASE),99945,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99945
ORAL,MARKETED,99946,APPROVED,31.12.2020,2020,CORZYNA,KYE PHARMACEUTICALS INC.,KYE,02510227,RANOLAZINE,Small molecule,TABLET (EXTENDED-RELEASE),99946,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99946
INTRAVENOUS,MARKETED,99955,APPROVED,30.12.2020,2020,ESSEPNA,FRESENIUS KABI CANADA LTD,Fresenius,02510324,GLYCINE; HISTIDINE; THREONINE; TYROSINE; ARGININE; PHENYLALANINE; TRYPTOPHAN; ALANINE; METHIONINE; LEUCINE; TAURINE; PROLINE; ISOLEUCINE; LYSINE (L-LYSINE ACETATE); SERINE; VALINE,Peptides and proteins,SOLUTION,99955,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99955
TOPICAL,MARKETED,99956,APPROVED,24.12.2020,2020,COOLA CLEAR SUNSCREEN SPRAY PINA COLADA SCENT,COOLA LLC,COOLA,02510332,OCTISALATE; OCTOCRYLENE; AVOBENZONE,Small molecule,"SPRAY, BAG-ON-VALVE",99956,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99956
TOPICAL,MARKETED,99963,APPROVED,30.12.2020,2020,ARTISTRY SKIN NUTRITION RENEWING REACTIVATION DAY CREAM,AMWAY CORP.,Amway,02510405,OCTISALATE; OCTOCRYLENE; AVOBENZONE,Small molecule,CREAM,99963,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99963
TOPICAL,MARKETED,99964,APPROVED,30.12.2020,2020,ARTISTRY SKIN NUTRITION RENEWING REACTIVATION DAY LOTION,AMWAY CORP.,Amway,02510413,OCTISALATE; AVOBENZONE; OCTOCRYLENE,Small molecule,LOTION,99964,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99964
TOPICAL,MARKETED,99967,APPROVED,31.12.2020,2020,COOLA CLASSIC BODY SPF 30 SUNSCREEN LOTION TROPICAL COCONUT SCENT,COOLA LLC,COOLA,02510456,HOMOSALATE; OCTOCRYLENE; OCTISALATE; AVOBENZONE,Small molecule,LOTION,99967,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99967
ORAL,MARKETED,99968,APPROVED,20.09.2022,2022,TARO-APIXABAN,SUN PHARMA CANADA INC,Sun,02510464,APIXABAN,Small molecule,TABLET,99968,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99968
ORAL,MARKETED,99969,APPROVED,20.09.2022,2022,TARO-APIXABAN,SUN PHARMA CANADA INC,Sun,02510472,APIXABAN,Small molecule,TABLET,99969,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99969
ORAL,MARKETED,99970,APPROVED,07.01.2021,2021,AG-PAROXETINE TABLETS,ANGITA PHARMA INC.,Angita,02510480,PAROXETINE (PAROXETINE HYDROCHLORIDE),Small molecule,TABLET,99970,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99970
ORAL,MARKETED,99971,APPROVED,07.01.2021,2021,AG-PAROXETINE TABLETS,ANGITA PHARMA INC.,Angita,02510499,PAROXETINE (PAROXETINE HYDROCHLORIDE),Small molecule,TABLET,99971,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99971
ORAL,MARKETED,99973,APPROVED,07.01.2021,2021,AG-PAROXETINE TABLETS,ANGITA PHARMA INC.,Angita,02510510,PAROXETINE (PAROXETINE HYDROCHLORIDE),Small molecule,TABLET,99973,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99973
TOPICAL,MARKETED,99974,APPROVED,04.01.2021,2021,COOLA ENVIRONMENTAL 360° DAILY PROTECTION SPF 18 REFRESHING WATER MIST SUNSCREEN,COOLA LLC,COOLA,02510537,HOMOSALATE; OCTOCRYLENE; OCTISALATE; AVOBENZONE,Small molecule,SPRAY,99974,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99974
ORAL,MARKETED,99977,APPROVED,04.01.2021,2021,CORICIDIN COLD & FLU LIQUID GELS,BAYER INC,Bayer,02510553,GUAIFENESIN; ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE,Small molecule,CAPSULE,99977,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99977
ORAL,MARKETED,99983,APPROVED,07.01.2021,2021,AG-AMOXI CLAV,ANGITA PHARMA INC.,Angita,02510634,AMOXICILLIN (AMOXICILLIN TRIHYDRATE); CLAVULANIC ACID (CLAVULANATE POTASSIUM),Small molecule,TABLET,99983,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99983
ORAL,MARKETED,99984,APPROVED,07.01.2021,2021,AG-AMOXI CLAV,ANGITA PHARMA INC.,Angita,02510642,AMOXICILLIN (AMOXICILLIN TRIHYDRATE); CLAVULANIC ACID (CLAVULANATE POTASSIUM),Small molecule,TABLET,99984,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99984
ORAL,MARKETED,99987,APPROVED,06.01.2021,2021,NRA-QUETIAPINE XR,NORA PHARMA INC,Nora,02510677,QUETIAPINE (QUETIAPINE FUMARATE),Small molecule,TABLET (EXTENDED-RELEASE),99987,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99987
ORAL,MARKETED,99988,APPROVED,06.01.2021,2021,NRA-QUETIAPINE XR,NORA PHARMA INC,Nora,02510685,QUETIAPINE (QUETIAPINE FUMARATE),Small molecule,TABLET (EXTENDED-RELEASE),99988,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99988
ORAL,MARKETED,99989,APPROVED,06.01.2021,2021,NRA-QUETIAPINE XR,NORA PHARMA INC,Nora,02510693,QUETIAPINE (QUETIAPINE FUMARATE),Small molecule,TABLET (EXTENDED-RELEASE),99989,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99989
ORAL,MARKETED,99990,APPROVED,06.01.2021,2021,NRA-QUETIAPINE XR,NORA PHARMA INC,Nora,02510707,QUETIAPINE (QUETIAPINE FUMARATE),Small molecule,TABLET (EXTENDED-RELEASE),99990,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99990
ORAL,MARKETED,99991,APPROVED,06.01.2021,2021,NRA-QUETIAPINE XR,NORA PHARMA INC,Nora,02510715,QUETIAPINE (QUETIAPINE FUMARATE),Small molecule,TABLET (EXTENDED-RELEASE),99991,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99991
ORAL,MARKETED,99993,APPROVED,06.01.2021,2021,JAMP CLOXACILLIN,JAMP PHARMA CORPORATION,JAMP,02510731,CLOXACILLIN (CLOXACILLIN SODIUM),Small molecule,CAPSULE,99993,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99993
ORAL,MARKETED,99994,APPROVED,06.01.2021,2021,JAMP CLOXACILLIN,JAMP PHARMA CORPORATION,JAMP,02510758,CLOXACILLIN (CLOXACILLIN SODIUM),Small molecule,CAPSULE,99994,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99994
INTRAMUSCULAR; INTRAVENOUS,MARKETED,99999,APPROVED,11.01.2021,2021,PMS-METOCLOPRAMIDE HYDROCHLORIDE INJECTION,PHARMASCIENCE INC,Pharmascience,02510790,METOCLOPRAMIDE HYDROCHLORIDE,Small molecule,SOLUTION,99999,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=99999
TOPICAL,MARKETED,100000,APPROVED,08.01.2021,2021,COOLA CLASSIC FACE SPF 50 SUNSCREEN LOTION FRAGRANCE-FREE,COOLA LLC,COOLA,02510804,HOMOSALATE; AVOBENZONE; OCTOCRYLENE; OCTISALATE,Small molecule,LOTION,100000,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100000
TOPICAL,MARKETED,100001,APPROVED,08.01.2021,2021,COOLA CLASSIC FACE SPF 50 SUNSCREEN LOTION WHITE TEA SCENT,COOLA LLC,COOLA,02510812,AVOBENZONE; OCTOCRYLENE; OCTISALATE; HOMOSALATE,Small molecule,LOTION,100001,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100001
INTRAVENOUS,MARKETED,100002,APPROVED,11.01.2021,2021,VYEPTI,LUNDBECK CANADA INC,Lundbeck,02510839,EPTINEZUMAB,Biologics,SOLUTION,100002,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100002
ORAL,MARKETED,100012,APPROVED,19.01.2021,2021,JAMP KETOROLAC,JAMP PHARMA CORPORATION,JAMP,02510855,KETOROLAC TROMETHAMINE,Small molecule,TABLET,100012,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100012
DENTAL,MARKETED,100015,APPROVED,12.01.2021,2021,ORAL-B GUM THERAPY,PROCTER & GAMBLE INC,Procter & Gamble,02510871,CETYLPYRIDINIUM CHLORIDE,Small molecule,MOUTHWASH,100015,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100015
TOPICAL (HOUSEHOLD),MARKETED,100018,APPROVED,12.01.2021,2021,SOAPOPULAR ANTIBACTERIAL HAND SOAP,SOAPOPULAR INC,SOAPOPULAR,02510901,BENZALKONIUM CHLORIDE,Small molecule,SOLUTION,100018,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100018
ORAL,MARKETED,100019,APPROVED,19.01.2021,2021,AG-ESCITALOPRAM TABLETS,ANGITA PHARMA INC.,Angita,02510944,ESCITALOPRAM (ESCITALOPRAM OXALATE),Small molecule,TABLET,100019,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100019
ORAL,MARKETED,100020,APPROVED,19.01.2021,2021,AG-ESCITALOPRAM TABLETS,ANGITA PHARMA INC.,Angita,02510952,ESCITALOPRAM (ESCITALOPRAM OXALATE),Small molecule,TABLET,100020,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100020
INHALATION; ORAL,MARKETED,100023,APPROVED,15.01.2021,2021,APO-FLUTICASONE HFA,APOTEX INC,Apotex,02510987,FLUTICASONE PROPIONATE,Small molecule,METERED-DOSE AEROSOL,100023,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100023
INTRAVITREAL,MARKETED,100024,APPROVED,15.01.2021,2021,TISSUEBLUE,DUTCH OPHTHALMIC RESEARCH CENTER INTERNATIONAL BV,Dutch Ophthalmic Research Center,02510995,BRILLIANT BLUE G,Small molecule,SOLUTION,100024,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100024
SUBCUTANEOUS,MARKETED,100029,APPROVED,14.01.2021,2021,ABRILADA,PFIZER CANADA ULC,Pfizer,02511045,ADALIMUMAB,Biologics,SOLUTION,100029,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100029
SUBCUTANEOUS,MARKETED,100030,APPROVED,14.01.2021,2021,ABRILADA,PFIZER CANADA ULC,Pfizer,02511053,ADALIMUMAB,Biologics,SOLUTION,100030,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100030
SUBCUTANEOUS,MARKETED,100031,APPROVED,14.01.2021,2021,ABRILADA,PFIZER CANADA ULC,Pfizer,02511061,ADALIMUMAB,Biologics,SOLUTION,100031,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100031
INTRAMUSCULAR; INTRAVENOUS,MARKETED,100038,APPROVED,20.01.2021,2021,ERTAPENEM FOR INJECTION,DR REDDY'S LABORATORIES LTD,DR REDDY'S,02511150,ERTAPENEM (ERTAPENEM SODIUM),Small molecule,POWDER FOR SOLUTION,100038,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=100038
