DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
69597,02245510,PEDIACOL,SIMETHICONE,DROPS,ORAL,MARKETED,21.05.2004,MARKETED,EURO-PHARM INTERNATIONAL CANADA INC,2004
69609,02245522,"TARO-CLOBETASOL TOPICAL SOLUTION USP, 0.05%",CLOBETASOL PROPIONATE,SOLUTION,TOPICAL,APPROVED,21.02.2002,MARKETED,TARO PHARMACEUTICALS INC,2002
69610,02245523,"TARO-CLOBETASOL CREAM USP, 0.05%",CLOBETASOL PROPIONATE,CREAM,TOPICAL,APPROVED,21.02.2002,MARKETED,TARO PHARMACEUTICALS INC,2002
69611,02245524,"TARO-CLOBETASOL OINTMENT USP, 0.05%",CLOBETASOL PROPIONATE,OINTMENT,TOPICAL,APPROVED,21.02.2002,MARKETED,TARO PHARMACEUTICALS INC,2002
69618,02245531,ARIXTRA,FONDAPARINUX SODIUM,SOLUTION,INTRAVENOUS; SUBCUTANEOUS,APPROVED,13.06.2002,MARKETED,ASPEN PHARMACARE CANADA INC.,2002
69619,02245532,PMS-PREDNISOLONE,PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE),SOLUTION,ORAL,APPROVED,08.03.2002,MARKETED,PHARMASCIENCE INC,2002
69637,02245546,MICONAZOLE NITRATE VAGINAL CREAM 2%,MICONAZOLE NITRATE,CREAM,VAGINAL,APPROVED,27.02.2002,MARKETED,VITA HEALTH PRODUCTS INC,2002
69657,02245565,XATRAL,ALFUZOSIN HYDROCHLORIDE,TABLET (EXTENDED-RELEASE),ORAL,MARKETED,21.02.2002,MARKETED,SANOFI-AVENTIS CANADA INC,2002
69667,02245571,BACIJECT,BACITRACIN,POWDER FOR SOLUTION,INTRAMUSCULAR; TOPICAL,MARKETED,28.08.2003,MARKETED,STERIMAX INC,2003
69670,02245575,DRIXORAL NO DRIP EXTRA MOISTURIZING,OXYMETAZOLINE HYDROCHLORIDE,SPRAY,NASAL,MARKETED,28.09.2002,MARKETED,BAYER INC,2002
69673,02245578,DRIXORAL NO DRIP ORIGINAL UNSCENTED,OXYMETAZOLINE HYDROCHLORIDE,SPRAY,NASAL,MARKETED,28.09.2002,MARKETED,BAYER INC,2002
69676,02245580,DRIXORAL NO DRIP COOLING MENTHOL,OXYMETAZOLINE HYDROCHLORIDE,SPRAY,NASAL,MARKETED,28.09.2002,MARKETED,BAYER INC,2002
69689,02245592,DAMYLIN WITH CODEINE SYRUP,AMMONIUM CHLORIDE; CODEINE PHOSPHATE; DIPHENHYDRAMINE HYDROCHLORIDE,SYRUP,ORAL,MARKETED,13.09.2002,MARKETED,LABORATOIRE RIVA INC.,2002
69718,02245618,APO-WARFARIN,WARFARIN SODIUM,TABLET,ORAL,APPROVED,16.04.2002,MARKETED,APOTEX INC,2002
69719,02245619,COPAXONE,GLATIRAMER ACETATE,SOLUTION,SUBCUTANEOUS,APPROVED,20.03.2002,MARKETED,TEVA CANADA LIMITED,2002
69723,02245623,APO-AMOXI CLAV,AMOXICILLIN (AMOXICILLIN TRIHYDRATE); CLAVULANIC ACID (CLAVULANATE POTASSIUM),TABLET,ORAL,APPROVED,16.04.2002,MARKETED,APOTEX INC,2002
69741,02245641,ORGALUTRAN,GANIRELIX (GANIRELIX ACETATE),SOLUTION,SUBCUTANEOUS,APPROVED,01.05.2002,MARKETED,ORGANON CANADA INC.,2002
69743,02245643,PMS-FLUCONAZOLE,FLUCONAZOLE,TABLET,ORAL,APPROVED,05.06.2002,MARKETED,PHARMASCIENCE INC,2002
69744,02245644,PMS-FLUCONAZOLE,FLUCONAZOLE,TABLET,ORAL,APPROVED,05.06.2002,MARKETED,PHARMASCIENCE INC,2002
69762,02245662,KETODERM CREAM 2%,KETOCONAZOLE,CREAM,TOPICAL,APPROVED,03.04.2002,MARKETED,"TAROPHARMA, A DIVISION OF TARO PHARMACEUTICALS INC.",2002
69763,02245663,APO-TRIMEBUTINE,TRIMEBUTINE MALEATE,TABLET,ORAL,APPROVED,16.04.2002,MARKETED,APOTEX INC,2002
69764,02245664,APO-TRIMEBUTINE,TRIMEBUTINE MALEATE,TABLET,ORAL,APPROVED,16.04.2002,MARKETED,APOTEX INC,2002
