Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda040478,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,08.11.2002,2002,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040482,,hydrocodone bitartrate and acetaminophen,acetaminophen,chartwell,small molecule,solution,oral,approved,discontinued,25.09.2003,2003,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda040488,,codrix,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,28.03.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040490,,hydrocodone bitartrate and acetaminophen,acetaminophen,able,small molecule,tablet,oral,approved,discontinued,21.05.2003,2003,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040493,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,28.05.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040494,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,28.05.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040495,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,28.05.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040496,,"butalbital, acetaminophen and caffeine",acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,23.12.2003,2003,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040507,,propoxyphene hydrochloride and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,30.07.2003,2003,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040508,,hydrocodone bitartrate and acetaminophen,acetaminophen,mallinckrodt inc,small molecule,solution,oral,approved,discontinued,29.08.2003,2003,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040511,,"butalbital, acetaminophen and caffeine",acetaminophen,strides pharma,small molecule,tablet,oral,approved,authorised,27.08.2003,2003,no,,,,diseases of the nervous system,,,yes,,,strides,FDA,"indications and usage butalbital, acetaminophen and caffeine tablets are indicated for the relief of the symptom complex of tension (or muscle contraction) headache. evidence supporting the efficacy and safety of this combination product in the treatment of multiple recurrent headaches is unavailable. caution in this regard is required because butalbital is habit-forming and potentially abusable.",fda,no,<headache>,
anda040513,,"butalbital, acetaminophen and caffeine",acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,25.08.2003,2003,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040520,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,solution,oral,approved,discontinued,30.10.2003,2003,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040535,,oxycodone and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,05.09.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040545,,oxycodone and acetaminophen,acetaminophen,specgx llc,small molecule,tablet,oral,approved,authorised,30.06.2004,2004,no,,,,"injury, poisoning and certain other consequences of external causes",,,yes,,,specgx,FDA,"indications and usage oxycodone and acetaminophen tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse, with opioids, even at recommended doses ( see warnings ), reserve oxycodone and acetaminophen tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics) have not been tolerated, or are not expected to be tolerated, have not provided adequate analgesia, or are not expected to provide adequate analgesia.",fda,no,not reported,
anda040550,,oxycodone and acetaminophen,acetaminophen,mallinckrodt,small molecule,tablet,oral,approved,discontinued,30.06.2004,2004,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040601,,"butalbital, acetaminophen and caffeine",acetaminophen,sun pharm industries,small molecule,tablet,oral,approved,discontinued,29.07.2005,2005,no,,,,,,,yes,,,sun,FDA,,fda,no,,
anda040608,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,authorised,30.12.2005,2005,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040637,,"acetaminophen, caffeine, and dihydrocodeine bitartrate",acetaminophen,west-ward pharm corp,small molecule,tablet,oral,approved,discontinued,22.09.2006,2006,no,,,,,,,yes,,,west-ward,FDA,,fda,no,,
anda040655,,hydrocodone bitartrate and acetaminophen,acetaminophen,strides pharma,small molecule,tablet,oral,approved,authorised,19.01.2006,2006,no,,,,,,,yes,,,strides,FDA,,fda,no,,
anda040656,,hydrocodone bitartrate and acetaminophen,acetaminophen,strides pharma,small molecule,tablet,oral,approved,authorised,19.01.2006,2006,no,,,,,,,yes,,,strides,FDA,,fda,no,,
anda040658,,hydrocodone bitartrate and acetaminophen,acetaminophen,chartwell,small molecule,tablet,oral,approved,discontinued,19.01.2006,2006,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda040676,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,19.04.2006,2006,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040679,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,16.05.2006,2006,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040680,,oxycodone and acetaminophen,acetaminophen,specgx llc,small molecule,solution,oral,approved,discontinued,29.09.2006,2006,no,,,,,,,yes,,,specgx,FDA,,fda,no,,
anda040687,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,27.04.2006,2006,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040688,,"acetaminophen, caffeine, and dihydrocodeine bitartrate",acetaminophen,wraser pharms llc,small molecule,capsule,oral,approved,discontinued,03.04.2007,2007,no,,,,,,,yes,,,wraser,FDA,,fda,no,,
anda040692,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,27.04.2006,2006,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040698,,oxycodone and acetaminophen,acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,27.04.2006,2006,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040701,,"acetaminophen, caffeine, and dihydrocodeine bitartrate",acetaminophen,boca pharma llc,small molecule,tablet,oral,approved,discontinued,03.04.2007,2007,no,,,,,,,yes,,,boca,FDA,,fda,no,,
anda040729,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040736,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,authorised,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040746,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,authorised,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040748,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040754,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040757,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,25.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040769,,hydrocodone bitartrate and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,28.08.2006,2006,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040777,,oxycodone and acetaminophen,acetaminophen,amneal pharms,small molecule,tablet,oral,approved,authorised,27.11.2007,2007,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda040778,,oxycodone and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,authorised,27.11.2007,2007,no,,,,"injury, poisoning and certain other consequences of external causes",,,yes,,,amneal,FDA,"indications and usage oxycodone and acetaminophen tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration [see warnings ], reserve oxycodone and acetaminophen tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics] have not been tolerated or are not expected to be tolerated, have not provided adequate analgesia or are not expected to provide adequate analgesia oxycodone and acetaminophen tablets should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",fda,no,not reported,
anda040779,,acetaminophen and codeine phosphate,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,authorised,29.05.2008,2008,no,,,,"injury, poisoning and certain other consequences of external causes",,,yes,,,amneal,FDA,"indications and usage acetaminophen and codeine phosphate tablets are indicated for the management of mild to moderate pain, where treatment with an opioid is appropriate and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse, with opioids, even at recommended doses (see warnings ), reserve acetaminophen and codeine phosphate tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics). have not provided adequate analgesia, or are not expected to provide adequate analgesia, have not been tolerated, or are not expected to be tolerated.",fda,no,not reported,
anda040789,,oxycodone and acetaminophen,acetaminophen,amneal pharms ny,small molecule,tablet,oral,approved,discontinued,27.11.2007,2007,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
