Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA090317,METOPROLOL TARTRATE,METOPROLOL TARTRATE,STERISCIENCE SPECLTS,INJECTABLE,INJECTION,Approved,19.04.2010,Discontinued,yes,No
FDA,ANDA090339,AMPICILLIN AND SULBACTAM,AMPICILLIN SODIUM,EUGIA PHARMA SPECLTS,INJECTABLE,INJECTION,Approved,20.09.2010,authorised,yes,No
FDA,NDA018741,DIPROLENE,BETAMETHASONE DIPROPIONATE,ORGANON,"OINTMENT, AUGMENTED",TOPICAL,Approved,27.07.1983,authorised,no,Yes
FDA,ANDA090380,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN,CARACO,TABLET,ORAL,Approved,23.12.2008,Discontinued,yes,No
FDA,ANDA090384,PEMETREXED DISODIUM,PEMETREXED DISODIUM,FRESENIUS KABI USA,POWDER,INTRAVENOUS,Approved,25.05.2022,authorised,yes,No
FDA,ANDA090386,METOPROLOL TARTRATE,METOPROLOL TARTRATE,AM REGENT,INJECTABLE,INJECTION,Approved,30.09.2009,Discontinued,yes,No
FDA,ANDA090398,AMLODIPINE AND OLMESARTAN MEDOXOMIL,AMLODIPINE BESYLATE,MATRIX LABS LTD,TABLET,ORAL,Tentative Approval,07.03.2011,None (Tentative Approval),yes,No
FDA,ANDA090403,INDOMETHACIN,INDOMETHACIN,ZYDUS LIFESCIENCES,CAPSULE,ORAL,Approved,15.11.2010,authorised,yes,No
FDA,ANDA090413,HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,08.12.2010,Discontinued,yes,No
FDA,ANDA090421,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,SUN PHARM,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,15.11.2010,Discontinued,yes,No
FDA,ANDA090424,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,AVET LIFESCIENCES,INJECTABLE,INJECTION,Approved,16.04.2010,Discontinued,yes,No
FDA,NDA008402,PHISOHEX,HEXACHLOROPHENE,SANOFI AVENTIS US,EMULSION,TOPICAL,,,Discontinued,no,No
FDA,ANDA090439,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,LUPIN LTD,CAPSULE,ORAL,Approved,28.01.2015,authorised,yes,No
FDA,ANDA090456,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,STRIDES PHARMA,TABLET,ORAL,Approved,10.06.2010,authorised,yes,No
FDA,ANDA090461,LEVETIRACETAM,LEVETIRACETAM,AJENAT PHARMS,SOLUTION,ORAL,Approved,30.09.2010,authorised,yes,No
FDA,ANDA090463,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,APOTEX,TABLET,ORAL,Approved,30.08.2010,Discontinued,yes,No
FDA,ANDA090468,ZYFREL,ACETAMINOPHEN,CYPRESS PHARM INC,SOLUTION,ORAL,Approved,14.04.2016,Discontinued,yes,No
FDA,ANDA090492,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,SUN PHARM,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,28.10.2011,Discontinued,yes,No
FDA,ANDA090510,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,UNICHEM,CAPSULE,ORAL,Approved,19.01.2010,authorised,yes,No
FDA,ANDA090513,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE,AUROBINDO PHARMA,TABLET,ORAL,Approved,26.01.2018,authorised,yes,No
FDA,ANDA090535,OXYCODONE AND ACETAMINOPHEN,ACETAMINOPHEN,SUN PHARM INDS INC,TABLET,ORAL,Approved,26.12.2013,Discontinued,yes,No
FDA,ANDA090539,CINACALCET HYDROCHLORIDE,CINACALCET HYDROCHLORIDE,TEVA PHARMS,TABLET,ORAL,Tentative Approval,25.04.2017,None (Tentative Approval),yes,No
