MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
NDA021978,,FDA,VERDESO,DESONIDE,ALMIRALL,"AEROSOL, FOAM",TOPICAL,Approved,19.09.2006,2006,Discontinued,no,Yes,No
NDA021980,,FDA,FLUORESCITE,FLUORESCEIN SODIUM,ALCON LABS INC,INJECTABLE,INTRAVENOUS,Approved,28.03.2006,2006,authorised,no,Yes,No
NDA021983,"1 INDICATIONS AND USAGE DuoDote is indicated for the treatment of poisoning by organophosphorus nerve agents as well as organophosphorus insecticides in adults and pediatric patients weighing more than 41 kg (90 pounds). DuoDote, a combination of atropine, a cholinergic muscarinic antagonist, and pralidoxime chloride, a cholinesterase reactivator, is indicated for the treatment of poisoning by organophosphorus nerve agents as well as organophosphorus insecticides in adults and pediatric patients weighing more than 41 kg (90 pounds). ( 1 )",FDA,DUODOTE,ATROPINE,MMT,INJECTABLE,INTRAMUSCULAR,Approved,28.09.2006,2006,authorised,no,Yes,No
NDA021985,,FDA,TEKTURNA,ALISKIREN HEMIFUMARATE,NODEN PHARMA,TABLET,ORAL,Approved,05.03.2007,2007,authorised,no,Yes,No
NDA021986,,FDA,SPRYCEL,DASATINIB,BRISTOL MYERS SQUIBB,TABLET,ORAL,Approved,28.06.2006,2006,authorised,no,Yes,No
NDA021988,,FDA,Lamivudine/Zidovudine 150 mg/300 mg Tablets Co-packaged with Nevirapine 200 mg Tablets,LAMIVUDINE,STRIDES ACROLAB,TABLET,ORAL,Tentative Approval,02.03.2007,2007,None (Tentative Approval),no,No,No
NDA021990,,FDA,EXFORGE,AMLODIPINE BESYLATE,NOVARTIS,TABLET,ORAL,Approved,20.06.2007,2007,authorised,no,Yes,No
NDA021991,"1 INDICATIONS AND USAGE ZOLINZA ® is indicated for the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma who have progressive, persistent or recurrent disease on or following two systemic therapies. ZOLINZA is a histone deacetylase (HDAC) inhibitor indicated for the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma (CTCL) who have progressive, persistent or recurrent disease on or following two systemic therapies. ( 1 )",FDA,ZOLINZA,VORINOSTAT,MSD SUB MERCK,CAPSULE,ORAL,Approved,06.10.2006,2006,authorised,no,Yes,No
NDA021992,,FDA,PRISTIQ,DESVENLAFAXINE SUCCINATE,PF PRISM CV,"TABLET, EXTENDED RELEASE",ORAL,Approved,29.02.2008,2008,authorised,no,Yes,No
NDA021993,"Uses temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose itchy, watery eyes sneezing itching of the nose or throat",FDA,CLARITIN REDITABS,LORATADINE,BAYER HEALTHCARE LLC,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,12.12.2006,2006,authorised,no,Yes,No
