Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
axicabtagene ciloleucel,Yescarta,03/27/2014,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,2022-01-04 00:00:00,2029-01-04 00:00:00,"treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, treatment of adult patients with DLBCL arising from follicular lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, and treatment of adult patients with primary mediastinal B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy (not including treatment of patients with primary central nervous system lymphoma and excluding patients covered by the indication that received marketing approval on October 18, 2017 for Yescarta)","Kite Pharma, Inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,423914.0
axicabtagene ciloleucel,Yescarta,04/25/2016,Treatment of follicular lymphoma.,Designated/Approved,,,Treatment of adult patients with relapsed or refractory follicular lymphoma after two or more lines of systemic therapy,2021-05-03 00:00:00,2028-05-03 00:00:00,"Treatment of adult patients with relapsed or refractory follicular lymphoma after two or more lines of systemic therapy, excluding patients with diffuse large B-cell lymphoma arising from follicular lymphoma.","Kite Pharma, Inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,515615.0
axicabtagene ciloleucel,Yescarta,04/20/2016,Treatment of primary mediastinal B-cell lymphoma.,Designated/Approved,,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,2022-01-04 00:00:00,2029-01-04 00:00:00,"treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, treatment of adult patients with DLBCL arising from follicular lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, and treatment of adult patients with primary mediastinal B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy (not including treatment of patients with primary central nervous system lymphoma and excluding patients covered by the indication that received marketing approval on October 18, 2017 for Yescarta)","Kite Pharma, inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,515915.0
axicabtagene ciloleucel,Yescarta,04/25/2016,Treatment of follicular lymphoma.,Designated/Approved,,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma)","Kite Pharma, Inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,515615.0
axicabtagene ciloleucel,Yescarta,03/27/2014,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,,"Treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, primary mediastinal large B-cell lymphoma, high-grade B-cell lymphoma, and DLBCL arising from follicular lymphoma",10/18/2017,10/18/2024,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy, treatment of adult patients with relapsed or refractory DLBCL arising from follicular lymphoma after two or more lines of systemic therapy, and treatment of adult patients with relapsed or refractory primary mediastinal B-cell lymphoma after two or more lines of systemic therapy (not including treatment of patients with primary central nervous system lymphoma)","Kite Pharma, Inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,423914.0
axicabtagene ciloleucel,Yescarta,04/25/2016,Treatment of follicular lymphoma.,Designated/Approved,,,Treatment of adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy. Limitations of Use: Yescarta is not indicated for the treatment of patients with primary central nervous system lymphoma.,2022-01-04 00:00:00,2029-01-04 00:00:00,"treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, treatment of adult patients with DLBCL arising from follicular lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy, and treatment of adult patients with primary mediastinal B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months of first-line chemoimmunotherapy (not including treatment of patients with primary central nervous system lymphoma and excluding patients covered by the indication that received marketing approval on October 18, 2017 for Yescarta)","Kite Pharma, Inc.",2400 Broadway,,Santa Monica,California,' 90404 ' ,United States,515615.0
baclofen,OZOBAX,12/16/1991,Treatment of intractable spasticity due to multiple sclerosis or spinal cord injury.,Designated/Approved,,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. OZOBAX may also be of some value in patients with spinal cord injuries and other spinal cord diseases.",09/18/2019,,,"Metacel Pharmaceuticals, LLC",244 E Washington Street,,Athens,Georgia,' 30601 ' ,United States,64091.0
baclofen,Lioresal Intrathecal,1987-10-11 00:00:00,"Treatment of intractable spasticity caused by spinal cord injury, multiple sclerosis, and other spinal diseases (including spinal ischemia, spinal tumor, transverse myelitis, cervical spondylosis, and degenerative myelopathy).",Designated/Approved,,,Management of severe spasticity of spinal cord origin in patients who are unresponsive to oral baclofen therapy or experience intolerable CNS side effects at effective doses.,06/25/1992,06/25/1999,,"Medtronic, Inc.",800 53rd Avenue N.E.,,Minneapolis,Minnesota,' 55432 ' ,United States,23987.0
belantamab mafodotin-blmf,BLENREP,06/22/2017,Treatment of multiple myeloma,Designated/Approved,,,"for the treatment of adults with relapsed or refractory multiple myeloma who have received at least 4 prior therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent (indication withdrawn)",2020-05-08 00:00:00,2023-06-02 00:00:00,"for the treatment of adults with relapsed or refractory multiple myeloma who have received at least 4 prior therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent (indication withdrawn)",GlaxoSmithKline Intellectual Property Development Ltd.,980 GREAT WEST ROAD,,BRENTFORD,MIDDLESEX,' TW89GS ' ,United Kingdom,590517.0
benznidazole,,04/14/2014,Treatment of Chagas disease,Designated/Approved,,,"Treatment of Chagas disease (American trypanosomiasis), caused by Trypanosoma cruzi, in pediatric patients 2 to 12 years of age.",08/29/2017,08/29/2024,"Treatment of Chagas disease (American trypanosomiasis), caused by Trypanosoma cruzi, in pediatric patients 2 to 12 years of age.","Chemo Research, S.L.",Edificio Nectar,"c/Quintanapalla, 2, 3 planta",Madrid,,' ' ,Spain,425214.0
