,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
15492,ANDA205190,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,EUGIA PHARMA,solution; drops,OPHTHALMIC,Approved,03.12.2020,2020.0,Discontinued,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
15493,ANDA205191,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,EUGIA PHARMA,solution; drops,OPHTHALMIC,Approved,15.11.2018,2018.0,Discontinued,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
15494,ANDA205192,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,ZYDUS PHARMS,TABLET,ORAL,Approved,24.04.2017,2017.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15495,ANDA205197,PLERIXAFOR,PLERIXAFOR,TEVA PHARMS USA INC,SOLUTION,SUBCUTANEOUS,Approved,24.07.2023,2023.0,authorised,yes,No,Teva,Small molecule,Neoplasms; Diseases of the blood and blood-forming organs,<Non-Hodgkin Lymphoma>; <Multiple Myeloma>,<Non-Hodgkin Lymphoma>; <Multiple Myeloma>,,,,"1 INDICATIONS AND USAGE Plerixafor Injection is indicated in combination with filgrastim to mobilize hematopoietic stem cells (HSCs) to the peripheral blood for collection and subsequent autologous transplantation in patients with non-Hodgkin’s lymphoma (NHL) or multiple myeloma (MM). Plerixafor Injection, a hematopoietic stem cell mobilizer, is indicated in combination with filgrastim to mobilize hematopoietic stem cells (HSCs) to the peripheral blood for collection and subsequent autologous transplantation in patients with non-Hodgkin’s lymphoma or multiple myeloma. ( 1 )",,,,No,FDA
15496,ANDA205199,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE,APOTEX,TABLET,ORAL,Approved,18.11.2019,2019.0,authorised,yes,No,Apotex,Small molecule,,,,,,,,,,,No,FDA
15497,ANDA205205,DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,MYLAN,capsule,ORAL,Approved,19.01.2024,2024.0,authorised,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
15498,ANDA205206,DESOXIMETASONE,DESOXIMETASONE,ZYDUS LIFESCIENCES,OINTMENT,TOPICAL,Approved,19.09.2017,2017.0,authorised,yes,No,Zydus,Small molecule,Diseases of the skin,<Dermatoses>,<Dermatoses>,,,,"INDICATIONS AND USAGE Desoximetasone Ointment USP, 0.25% is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.",,,,No,FDA
15499,ANDA205209,DARIFENACIN HYDROBROMIDE,DARIFENACIN HYDROBROMIDE,TORRENT,tablet,ORAL,Approved,17.11.2016,2016.0,authorised,yes,No,Torrent,Small molecule,,,,,,,,,,,No,FDA
15500,ANDA205210,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,HERITAGE PHARMA,TABLET,ORAL,Approved,13.02.2018,2018.0,authorised,yes,No,Heritage,Small molecule,,,,,,,,,,,No,FDA
15501,ANDA205215,INDOMETHACIN,INDOMETHACIN,JUBILANT GENERICS,CAPSULE,ORAL,Approved,25.08.2017,2017.0,Discontinued,yes,No,Jubilant,Small molecule,,,,,,,,,,,No,FDA
15502,ANDA205217,LAMIVUDINE,LAMIVUDINE,LUPIN LTD,TABLET,ORAL,Approved,18.12.2014,2014.0,authorised,yes,No,Lupin,Small molecule,Infectious and parasitic diseases,<Human Immunodeficiency Virus>,<Human Immunodeficiency Virus>,,,,1 INDICATIONS AND USAGE Lamivudine tablets are a nucleoside analogue reverse transcriptase inhibitor indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection. Limitations of Use: The dosage of this product is for HIV-1 and not for HBV. ( 1 ) Lamivudine tablets are a nucleoside analogue indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus type 1(HIV-1) infection. Limitations of Use The dosage of this product is for HIV-1 and not for HBV.,,,,No,FDA
15503,ANDA205220,VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR HYDROCHLORIDE,ACTAVIS LABS FL INC,solution,ORAL,Approved,18.07.2016,2016.0,authorised,yes,No,Actavis,Small molecule,,,,,,,,,,,No,FDA
15504,ANDA205222,LEVOFLOXACIN,LEVOFLOXACIN,LANNETT CO INC,SOLUTION,ORAL,Approved,25.05.2018,2018.0,authorised,yes,No,Lannett,Small molecule,,,,,,,,,,,No,FDA
15505,ANDA205227,TEMOZOLOMIDE,TEMOZOLOMIDE,EXTROVIS,CAPSULE,ORAL,Approved,29.06.2016,2016.0,Discontinued,yes,No,Extrovis,Small molecule,,,,,,,,,,,No,FDA
15506,ANDA205228,TRANEXAMIC ACID,TRANEXAMIC ACID,ZYDUS PHARMS,INJECTABLE,INJECTION,Approved,17.07.2017,2017.0,Discontinued,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15507,ANDA205229,PROGESTERONE,PROGESTERONE,XIROMED,CAPSULE,ORAL,Approved,20.10.2017,2017.0,authorised,yes,No,Not Reported,Peptides and proteins,,,,,,,,,,,No,FDA
15508,ANDA205230,"BUTALBITAL, ASPIRIN AND CAFFEINE",ASPIRIN,LGM PHARMA,CAPSULE,ORAL,Approved,18.10.2021,2021.0,Discontinued,yes,No,LGM,Small molecule,,,,,,,,,,,No,FDA
15509,ANDA205231,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,TWI PHARMS,capsule,ORAL,Approved,30.08.2018,2018.0,authorised,yes,No,TWI,Small molecule,,,,,,,,,,,No,FDA
15510,ANDA205232,PERPHENAZINE,PERPHENAZINE,ZYDUS PHARMS,TABLET,ORAL,Approved,06.04.2020,2020.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15511,ANDA205233,LINEZOLID,LINEZOLID,ALEMBIC,TABLET,ORAL,Approved,21.12.2015,2015.0,authorised,yes,No,Alembic,Small molecule,Infectious and parasitic diseases; Diseases of the respiratory system; Diseases of the skin,"<Pneumonia>; <Skin Diseases, Bacterial>; <Vancomycin-Resistant Enterococcal Infections>","<Pneumonia>; <Skin Diseases, Bacterial>; <Vancomycin-Resistant Enterococcal Infections>",,,,"1 INDICATIONS AND USAGE Linezolid tablets are indicated for the treatment of infections caused by susceptible strains of the designated microorganisms in the specific conditions listed below. Linezolid tablets are not indicated for the treatment of Gram-negative infections. It is critical that specific Gram-negative therapy be initiated immediately if a concomitant Gram-negative pathogen is documented or suspected [ see Warnings and Precautions (5.4) ]. ­ Linezolid tablets are an oxazolidinone-class antibacterial indicated in adults and children for the treatment of the following infections caused by susceptible Gram-positive bacteria: Nosocomial pneumonia (1.1); Community-acquired pneumonia (1.1); Complicated skin and skin structure infections, including diabetic foot infections, without concomitant osteomyelitis (1.2); Uncomplicated skin and skin structure infections (1.2); Vancomycin-resistant Enterococcus faecium infections (1.3) To reduce the development of drug-resistant bacteria and maintain the effectiveness of linezolid tablets and other antibacterial drugs, linezolid tablets should be used only to treat infections that are proven or strongly suspected to be caused by bacteria. (1.4) 1.1 Pneumonia Nosocomial pneumonia caused by Staphylococcus aureus (methicillin-susceptible and -resistant isolates) or Streptococcus pneumoniae [ see Clinical Studies (14) ]. Community-acquired pneumonia caused by Streptococcus pneumoniae , including cases with concurrent bacteremia, or Staphylococcus aureus (methicillin-susceptible isolates only) [ see Clinical Studies (14) ]. 1.2 Skin and Skin Structure Infections Complicated skin and skin structure infections, including diabetic foot infections, without concomitant osteomyelitis , caused by Staphylococcus aureus (methicillin-susceptible and -resistant isolates), Streptococcus pyogenes , or Streptococcus agalactiae . Linezolid has not been studied in the treatment of decubitus ulcers [ see Clinical Studies (14) ]. Uncomplicated skin and skin structure infections caused by Staphylococcus aureus (methicillin-susceptible isolates only) or Streptococcus pyogenes [ see Clinical Studies (14) ]. 1.3 Vancomycin-resistant Enterococcus faecium Infections Vancomycin-resistant Enterococcus faecium infections, including cases with concurrent bacteremia [ see Clinical Studies (14) ]. 1.4 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of linezolid tablets and other antibacterial drugs, linezolid should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. The safety and efficacy of linezolid tablets given for longer than 28 days have not been evaluated in controlled clinical trials.",,,,No,FDA
15512,ANDA205234,TELMISARTAN AND AMLODIPINE,AMLODIPINE BESYLATE,ALEMBIC,TABLET,ORAL,Approved,17.11.2016,2016.0,Discontinued,yes,No,Alembic,Small molecule,,,,,,,,,,,No,FDA
15513,ANDA205236,HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,SCIEGEN PHARMS INC,TABLET,ORAL,Approved,26.05.2017,2017.0,authorised,yes,No,SCIEGEN,Small molecule,Diseases of the circulatory system,<Hypertension>,<Hypertension>,,,,"INDICATIONS AND USAGE Essential hypertension, alone or as an adjunct.",,,,No,FDA
15514,ANDA205237,LACOSAMIDE,LACOSAMIDE,SCIEGEN PHARMS INC,TABLET,ORAL,Approved,17.03.2022,2022.0,authorised,yes,No,SCIEGEN,Small molecule,Diseases of the nervous system,<Seizures>,<Seizures>,,,,"1 INDICATIONS AND USAGE Lacosamide is indicated for: • Treatment of partial-onset seizures in patients 4 years of age and older ( 1.1 ) 1.1 Partial-Onset Seizures Lacosamide is indicated for the treatment of partial-onset seizures in patients 4 years of age and older. Additional pediatric use information is approved for UCB, Inc.'s VIMPAT ® (lacosamide) tablets. However, due to UCB, Inc.'s marketing exclusivity rights, this drug product is not labeled with that pediatric information.",,,,No,FDA
15515,ANDA205238,,,SUN PHARM INDS LTD,,,conditional marketing authorisation,28.06.2019,2019.0,None (conditional marketing authorisation),yes,No,Sun,,,,,,,,,,,,,FDA
15516,ANDA205239,DANTROLENE SODIUM,DANTROLENE SODIUM,EUGIA PHARMA SPECLTS,INJECTABLE,INJECTION,Approved,18.02.2016,2016.0,Discontinued,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
15517,ANDA205241,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,GLAND,INJECTABLE,INJECTION,Approved,12.05.2017,2017.0,authorised,yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
15518,ANDA205242,GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE,MYLAN LABS LTD,INJECTABLE,INJECTION,Approved,06.12.2017,2017.0,authorised,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
15519,ANDA205245,METRONIDAZOLE,METRONIDAZOLE,APPCO,TABLET,ORAL,Approved,23.09.2015,2015.0,authorised,yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
15520,ANDA205248,NATEGLINIDE,NATEGLINIDE,ZYDUS PHARMS,TABLET,ORAL,Approved,06.07.2016,2016.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15521,ANDA205249,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,ZYDUS LIFESCIENCES,LOTION,TOPICAL,Approved,24.09.2019,2019.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15522,ANDA205253,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,ZYDUS PHARMS,TABLET,ORAL,Approved,10.10.2017,2017.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
15523,ANDA205254,ZOLEDRONIC ACID,ZOLEDRONIC ACID,MYLAN LABS LTD,INJECTABLE,INTRAVENOUS,Approved,27.10.2017,2017.0,authorised,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
15524,ANDA205256,ESTRADIOL,ESTRADIOL,AMNEAL PHARMS,TABLET,VAGINAL,Approved,29.05.2015,2015.0,authorised,yes,No,Amneal,Small molecule,,,,,,,,,,,No,FDA
15525,ANDA205257,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,MYLAN,tablet,ORAL,Approved,22.12.2015,2015.0,Discontinued,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
15526,ANDA205258,NEVIRAPINE,NEVIRAPINE,APOTEX,tablet,ORAL,Approved,03.04.2014,2014.0,Discontinued,yes,No,Apotex,Small molecule,,,,,,,,,,,No,FDA
15527,ANDA205267,MILNACIPRAN HYDROCHLORIDE,MILNACIPRAN HYDROCHLORIDE,GLENMARK PHARMS LTD,TABLET,ORAL,conditional marketing authorisation,30.03.2017,2017.0,None (conditional marketing authorisation),yes,No,Glenmark,Small molecule,,,,,,,,,,,No,FDA
15528,ANDA205268,PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,GLENMARK PHARMS LTD,capsule,ORAL,Approved,08.09.2017,2017.0,authorised,yes,No,Glenmark,Small molecule,Diseases of the circulatory system,<Atrial Fibrillation>; <Atrial Flutter>; <Paroxysmal Supraventricular Tachycardia>,<Atrial Fibrillation>; <Atrial Flutter>; <Paroxysmal Supraventricular Tachycardia>,,,,"1 INDICATIONS AND USAGE Propafenone hydrochloride extended-release capsules are indicated to prolong the time to recurrence of symptomatic atrial fibrillation (AF) in patients with episodic (most likely paroxysmal or persistent) AF who do not have structural heart disease. Usage Considerations: • The use of propafenone hydrochloride extended-release capsules in patients with permanent AF or in patients exclusively with atrial flutter or paroxysmal supraventricular tachycardia (PSVT) has not been evaluated. Do not use propafenone hydrochloride extended-release capsules to control ventricular rate during AF. • Some patients with atrial flutter treated with propafenone have developed 1:1 conduction, producing an increase in ventricular rate. Concomitant treatment with drugs that increase the functional atrioventricular (AV) nodal refractory period is recommended. • The effect of propafenone on mortality has not been determined [see Boxed Warning] . Propafenone hydrochloride extended-release capsules are an antiarrhythmic indicated to prolong the time to recurrence of symptomatic atrial fibrillation (AF) in patients with episodic (most likely paroxysmal or persistent) AF who do not have structural heart disease. ( 1 ) Usage Considerations: • Use in patients with permanent atrial fibrillation or with atrial flutter or paroxysmal supraventricular tachycardia (PSVT) has not been evaluated. Do not use to control ventricular rate during atrial fibrillation. ( 1 ) • In patients with atrial fibrillation and atrial flutter, use propafenone hydrochloride extended-release capsules with drugs that increase the atrioventricular nodal refractory period. ( 1 ) • The effect of propafenone on mortality has not been determined. ( 1 )",,,,No,FDA
15529,ANDA205269,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,HISUN PHARM HANGZHOU,tablet,ORAL,Approved,27.07.2018,2018.0,authorised,yes,No,Hisun,Small molecule,,,,,,,,,,,No,FDA
15530,ANDA205272,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,TEVA PHARMS USA,INJECTABLE,INJECTION,Approved,28.11.2017,2017.0,authorised,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
15531,ANDA205274,AMOXICILLIN,AMOXICILLIN,HIKMA,tablet,ORAL,Approved,25.06.2020,2020.0,Discontinued,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
15532,ANDA205278,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE,XIROMED,TABLET,ORAL,Approved,10.11.2016,2016.0,authorised,yes,No,Xiromed,Small molecule,,,,,,,,,,,No,FDA
15533,ANDA205279,ZOLEDRONIC ACID,ZOLEDRONIC ACID,ACCORD HLTHCARE,INJECTABLE,INTRAVENOUS,Approved,28.11.2016,2016.0,authorised,yes,No,ACCORD,Small molecule,,,,,,,,,,,No,FDA
15534,ANDA205280,RISEDRONATE SODIUM,RISEDRONATE SODIUM,ORBION PHARMS,TABLET,ORAL,Approved,13.05.2019,2019.0,authorised,yes,No,Orbion,Small molecule,,,,,,,,,,,No,FDA
15535,ANDA205286,MILNACIPRAN HYDROCHLORIDE,MILNACIPRAN HYDROCHLORIDE,LUPIN LTD,TABLET,ORAL,conditional marketing authorisation,20.10.2015,2015.0,None (conditional marketing authorisation),yes,No,Lupin,Small molecule,,,,,,,,,,,No,FDA
15536,ANDA205291,CETIRIZINE HYDROCHLORIDE ALLERGY,CETIRIZINE HYDROCHLORIDE,STRIDES SOFTGELS,CAPSULE,ORAL,Approved,21.07.2017,2017.0,authorised,yes,No,Strides,Small molecule,,,,,,,,,,,No,FDA
15537,ANDA205292,"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",BROMPHENIRAMINE MALEATE,PADAGIS US,SYRUP,ORAL,Approved,15.07.2014,2014.0,authorised,yes,No,PADAGIS,Small molecule,Diseases of the respiratory system,<Allergy; Common Cold>,<Allergy; Common Cold>,,,,"INDICATIONS AND USAGE For relief of coughs and upper respiratory symptoms, including nasal congestion, associated with allergy or the common cold.",,,,No,FDA
15538,ANDA205294,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,FDC LTD,solution; drops,OPHTHALMIC,Approved,24.01.2019,2019.0,authorised,yes,No,FDC,Small molecule,,,,,,,,,,,No,FDA
15539,ANDA205295,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE,FDC LTD,solution; drops,OPHTHALMIC,Approved,13.06.2019,2019.0,authorised,yes,No,FDC,Small molecule,,,,,,,,,,,No,FDA
15540,ANDA205299,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE,DR REDDYS LABS SA,FILM,buccal; sublingual,Approved,14.06.2018,2018.0,authorised,yes,No,DR REDDYS,Small molecule,Mental and behavioural disorders,<Opioid-Related Disorders>,<Opioid-Related Disorders>,,,,"1 INDICATIONS AND USAGE Buprenorphine and naloxone sublingual film is indicated for treatment of opioid dependence. Buprenorphine and naloxone sublingual film should be used as part of a complete treatment plan that includes counseling and psychosocial support. Buprenorphine and naloxone sublingual film contains buprenorphine, a partial-opioid agonist and naloxone, an opioid antagonist, and is indicated for treatment of opioid dependence. ( 1 ) Buprenorphine and naloxone sublingual film should be used as part of a complete treatment plan that includes counseling and psychosocial support. ( 1 )",,,,No,FDA
15541,ANDA205300,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,TEVA PHARMS USA,TABLET,ORAL,Approved,27.03.2017,2017.0,authorised,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
15542,ANDA205301,ACETAZOLAMIDE,ACETAZOLAMIDE,CADILA,capsule,ORAL,Approved,16.01.2019,2019.0,authorised,yes,No,Cadila,Small molecule,,,,,,,,,,,No,FDA
15543,ANDA205302,RILPIVIRINE,RILPIVIRINE,STRIDES ARCOLAB LTD,TABLET,ORAL,conditional marketing authorisation,29.09.2015,2015.0,None (conditional marketing authorisation),yes,No,Strides Arcolab,Small molecule,,,,,,,,,,,No,FDA
15544,ANDA205304,CARBIDOPA,CARBIDOPA,EDENBRIDGE PHARMS,TABLET,ORAL,Approved,17.02.2016,2016.0,authorised,yes,No,Edenbridge,Small molecule,,,,,,,,,,,No,FDA
15545,ANDA205307,PROPOFOL,PROPOFOL,WATSON LABS INC,INJECTABLE,INJECTION,Approved,22.12.2015,2015.0,Discontinued,yes,No,Watson,Small molecule,,,,,,,,,,,No,FDA
15546,ANDA205309,TIMOLOL,TIMOLOL,EPIC PHARMA LLC,solution; drops,OPHTHALMIC,Approved,30.09.2016,2016.0,Discontinued,yes,No,EPIC,Small molecule,,,,,,,,,,,No,FDA
15547,ANDA205318,LIDOCAINE,LIDOCAINE,ENCUBE,OINTMENT,TOPICAL,Approved,01.02.2016,2016.0,Discontinued,yes,No,Encube,Small molecule,,,,,,,,,,,No,FDA
15548,ANDA205319,MONTELUKAST SODIUM,MONTELUKAST SODIUM,BRECKENRIDGE,TABLET,ORAL,Approved,30.10.2020,2020.0,Discontinued,yes,No,Breckenridge,Small molecule,,,,,,,,,,,No,FDA
15549,ANDA205321,PREGABALIN,PREGABALIN,AUROBINDO PHARMA,CAPSULE,ORAL,Approved,29.03.2023,2023.0,authorised,yes,No,Aurobindo,Small molecule,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system; Diseases of the musculoskeletal system and connective tissue","<Diabetic Neuropathies>; <Neuralgia, Postherpetic>; <Seizures>; <Fibromyalgia>; <Spinal Cord Injuries>","<Diabetic Neuropathies>; <Neuralgia, Postherpetic>; <Seizures>; <Fibromyalgia>; <Spinal Cord Injuries>",,,,1 INDICATIONS AND USAGE Pregabalin capsules are indicated for: Management of neuropathic pain associated with diabetic peripheral neuropathy Management of postherpetic neuralgia Adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older Management of fibromyalgia Management of neuropathic pain associated with spinal cord injury Pregabalin capsules are indicated for: Neuropathic pain associated with diabetic peripheral neuropathy (DPN) (1) Postherpetic neuralgia (PHN) (1) Adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older (1) Fibromyalgia (1) Neuropathic pain associated with spinal cord injury (1),,,,No,FDA
15550,ANDA205322,EFAVIRENZ,EFAVIRENZ,AUROBINDO PHARMA,TABLET,ORAL,Approved,30.08.2018,2018.0,Discontinued,yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
15551,ANDA205323,HEPARIN SODIUM,HEPARIN SODIUM,GLAND,INJECTABLE,INJECTION,Approved,06.02.2017,2017.0,authorised,yes,No,Gland,Peptides and proteins,Diseases of the circulatory system; Diseases of the blood and blood-forming organs,<Venous Thrombosis>; <Pulmonary Embolism>; <Deep Venous Thrombosis>; <Atrial Fibrillation>; <Disseminated Intravascular Coagulation>; <Peripheral Arterial Embolism>,<Venous Thrombosis>; <Pulmonary Embolism>; <Deep Venous Thrombosis>; <Atrial Fibrillation>; <Disseminated Intravascular Coagulation>; <Peripheral Arterial Embolism>,,,,"1 INDICATIONS AND USAGE Heparin Sodium Injection is indicated for: • Prophylaxis and treatment of venous thrombosis and pulmonary embolism • Prevention of postoperative deep venous thrombosis and pulmonary embolism in patients undergoing major abdominothoracic surgery or who, for other reasons, are at risk of developing thromboembolic disease • Atrial fibrillation with embolization • Treatment of acute and chronic consumptive coagulopathies (disseminated intravascular coagulation) • Prevention of clotting in arterial and cardiac surgery • Prophylaxis and treatment of peripheral arterial embolism • Anticoagulant use in blood transfusions, extracorporeal circulation, and dialysis procedures Heparin Sodium Injection is an anticoagulant indicated for ( 1 ) • Prophylaxis and treatment of venous thrombosis and pulmonary embolism • Prevention of postoperative deep venous thrombosis and pulmonary embolism in patients undergoing major abdominothoracic surgery or who, for other reasons, are at risk of developing thromboembolic disease • Atrial fibrillation with embolization • Treatment of acute and chronic consumptive coagulopathies (disseminated intravascular coagulation) • Prevention of clotting in arterial and cardiac surgery • Prophylaxis and treatment of peripheral arterial embolism • Use as an anticoagulant in blood transfusions, extracorporeal circulation, and dialysis procedures",,,,No,FDA
15552,ANDA205327,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,OSMOTICA PHARM US,tablet,ORAL,Approved,28.07.2017,2017.0,authorised,yes,No,Osmotica,Small molecule,,,,,,,,,,,No,FDA
15553,ANDA205328,TESTOSTERONE,TESTOSTERONE,ACTAVIS LABS UT INC,solution,TRANSDERMAL,Approved,07.08.2017,2017.0,authorised,yes,No,Actavis,Peptides and proteins,"Endocrine, nutritional, and metabolic diseases",<Primary Hypogonadism>; <Hypogonadotropic Hypogonadism>,<Primary Hypogonadism>; <Hypogonadotropic Hypogonadism>,,,,"1 INDICATIONS AND USAGE Testosterone topical solution is indicated for replacement therapy in males for conditions associated with a deficiency or absence of endogenous testosterone. Primary hypogonadism (congenital or acquired): testicular failure due to conditions such as cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome, orchiectomy, Klinefelter’s syndrome, chemotherapy, or toxic damage from alcohol or heavy metals. These men usually have low serum testosterone concentrations and gonadotropins (FSH, LH) above the normal range. Hypogonadotropic hypogonadism (congenital or acquired): gonadotropin or luteinizing hormone-releasing hormone (LHRH) deficiency or pituitary-hypothalamic injury from tumors, trauma, or radiation. These men have low testosterone serum concentrations but have gonadotropins in the normal or low range. Limitations of use: Safety and efficacy of testosterone topical solution in men with “age-related hypogonadism” (also referred to as “late-onset hypogonadism”) have not been established. Safety and efficacy of testosterone topical solution in males less than 18 years old have not been established [see Use in Specific Populations ( 8.4 )] . Testosterone topical solution is indicated for replacement therapy in males for conditions associated with a deficiency or absence of endogenous testosterone: Primary hypogonadism (congenital or acquired) ( 1 ) Hypogonadotropic hypogonadism (congenital or acquired) ( 1 ) Limitations of use: Safety and efficacy of testosterone topical solution in men with “age-related hypogonadism” have not been established. ( 1 ) Safety and efficacy of testosterone topical solution in males less than 18 years old have not been established. ( 8.4 )",,,,No,FDA
15554,ANDA205329,LEVONORGESTREL,LEVONORGESTREL,XIROMED,TABLET,ORAL,Approved,18.09.2018,2018.0,authorised,yes,No,Xiromed,Small molecule,Pregnancy and childbirth,Not Reported,Not Reported,,,,Use for women to reduce chance of pregnancy after unprotected sex (if a contraceptive failed or if you did not use birth control),,,,No,FDA
15555,ANDA205330,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,MACLEODS PHARMS LTD,TABLET,ORAL,Approved,31.10.2017,2017.0,Discontinued,yes,No,Macleods,Small molecule,,,,,,,,,,,No,FDA
15556,ANDA205331,ADENOSINE,ADENOSINE,EUGIA PHARMA,SOLUTION,INTRAVENOUS,Approved,02.11.2017,2017.0,authorised,yes,No,Eugia,Small molecule,Diseases of the circulatory system,Not Reported,Not Reported,,,,"1 INDICATIONS AND USAGE Adenosine injection, USP is indicated as an adjunct to thallium-201 myocardial perfusion scintigraphy in patients unable to exercise adequately. Adenosine injection USP, a pharmacologic stress agent, is indicated as an adjunct to thallium-201 myocardial perfusion scintigraphy in patients unable to exercise adequately ( 1 )",,,,No,FDA
15557,ANDA205332,IBANDRONATE SODIUM,IBANDRONATE SODIUM,EUGIA PHARMA,INJECTABLE,INTRAVENOUS,Approved,19.08.2015,2015.0,authorised,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
15558,ANDA205342,FLURANDRENOLIDE,FLURANDRENOLIDE,CHARTWELL RX,CREAM,TOPICAL,Approved,13.04.2016,2016.0,Discontinued,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
15559,ANDA205343,FLURANDRENOLIDE,FLURANDRENOLIDE,CHARTWELL RX,LOTION,TOPICAL,Approved,22.12.2016,2016.0,Discontinued,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
15560,ANDA205345,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,HETERO LABS LTD V,TABLET,ORAL,Approved,04.08.2023,2023.0,authorised,yes,No,HETERO,Small molecule,,,,,,,,,,,No,FDA
15561,ANDA205347,VALSARTAN,VALSARTAN,SQUARE PHARMS,TABLET,ORAL,Approved,09.04.2018,2018.0,authorised,yes,No,Square,Small molecule,,,,,,,,,,,No,FDA
15562,ANDA205348,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,CROSSMEDIKA SA,TABLET,ORAL,Approved,14.01.2016,2016.0,authorised,yes,No,CROSSMEDIKA,Small molecule,,,,,,,,,,,No,FDA
15563,ANDA205354,METHOCARBAMOL,METHOCARBAMOL,MONTEREY PHARMS LLC,SOLUTION,intramuscular; intravenous,Approved,27.10.2016,2016.0,authorised,yes,No,MONTEREY,Small molecule,,,,,,,,,,,No,FDA
