,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
7160,ANDA078034,SIMVASTATIN,SIMVASTATIN,BIOCON PHARMA,TABLET,ORAL,Approved,20.12.2006,2006.0,authorised,yes,No,Biocon,Small molecule,"Diseases of the circulatory system; Endocrine, nutritional, and metabolic diseases",<Atherosclerosis>; <Coronary Artery Disease>; <Hyperlipidemias>; <Hypercholesterolemia>; <Coronary Heart Disease>; <Diabetes Mellitus>; <Peripheral Arterial Disease>; <Cerebrovascular Disorders>; <Myocardial Infarction>; <Stroke>; <Dyslipidemias>; <Hypertriglyceridemia>; <Dysbetalipoproteinemia>; <Homozygous Familial Hypercholesterolemia>; <Heterozygous Familial Hypercholesterolemia>; <Cardiovascular Diseases>,<Atherosclerosis>; <Coronary Artery Disease>; <Hyperlipidemias>; <Hypercholesterolemia>; <Coronary Heart Disease>; <Diabetes Mellitus>; <Peripheral Arterial Disease>; <Cerebrovascular Disorders>; <Myocardial Infarction>; <Stroke>; <Dyslipidemias>; <Hypertriglyceridemia>; <Dysbetalipoproteinemia>; <Homozygous Familial Hypercholesterolemia>; <Heterozygous Familial Hypercholesterolemia>; <Cardiovascular Diseases>,,,,"1 INDICATIONS AND USAGE Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. In patients with coronary heart disease (CHD) or at high risk of CHD, simvastatin can be started simultaneously with diet. Simvastatin is an HMG-CoA reductase inhibitor (statin) indicated as an adjunctive therapy to diet to: • Reduce the risk of total mortality by reducing CHD deaths and reduce the risk of non-fatal myocardial infarction, stroke, and the need for revascularization procedures in patients at high risk of coronary events. ( 1.1 ) • Reduce elevated total-C, LDL-C, Apo B, TG and increase HDL-C in patients with primary hyperlipidemia (heterozygous familial and nonfamilial) and mixed dyslipidemia. ( 1.2 ) • Reduce elevated TG in patients with hypertriglyceridemia and reduce TG and VLDL-C in patients with primary dysbeta­-lipoproteinemia. ( 1.2 ) • Reduce total-C and LDL-C in adult patients with homozygous familial hypercholesterolemia. ( 1.2 ) • Reduce elevated total-C, LDL-C, and Apo B in boys and postmenarchal girls, 10 to 17 years of age with heterozygous familial hypercholesterolemia after failing an adequate trial of diet therapy. ( 1.2 , 1.3 ) Limitations of Use Simvastatin has not been studied in Fredrickson Types I and V dyslipidemias. ( 1.4 ) 1.1 Reductions in Risk of CHD Mortality and Cardiovascular Events In patients at high risk of coronary events because of existing coronary heart disease, diabetes, peripheral vessel disease, history of stroke or other cerebrovascular disease, simvastatin is indicated to: • Reduce the risk of total mortality by reducing CHD deaths. • Reduce the risk of non-fatal myocardial infarction and stroke. • Reduce the need for coronary and non-coronary revascularization procedures. 1.2 Hyperlipidemia Simvastatin is indicated to: • Reduce elevated total cholesterol (total-C), low-density lipoprotein cholesterol (LDL-C), apolipoprotein B (Apo B), and triglycerides (TG), and to increase high-density lipoprotein cholesterol (HDL-C) in patients with primary hyperlipidemia (Fredrickson type IIa, heterozygous familial and nonfamilial) or mixed dyslipidemia (Fredrickson type IIb). • Reduce elevated TG in patients with hypertriglyceridemia (Fredrickson type IV hyperlipidemia). • Reduce elevated TG and VLDL-C in patients with primary dysbetalipoproteinemia (Fredrickson type III hyperlipidemia). • Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia (HoFH) as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable. 1.3 Adolescent Patients with Heterozygous Familial Hypercholesterolemia (HeFH) Simvastatin is indicated as an adjunct to diet to reduce total-C, LDL-C, and Apo B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with HeFH, if after an adequate trial of diet therapy the following findings are present: 1. LDL cholesterol remains ≥190 mg/dL; or 2. LDL cholesterol remains ≥160 mg/dL and • There is a positive family history of premature cardiovascular disease (CVD) or • Two or more other CVD risk factors are present in the adolescent patient. The minimum goal of treatment in pediatric and adolescent patients is to achieve a mean LDL-C <130 mg/dL. The optimal age at which to initiate lipid-lowering therapy to decrease the risk of symptomatic adulthood CAD has not been determined. 1.4 Limitations of Use Simvastatin has not been studied in conditions where the major abnormality is elevation of chylomicrons (i.e., hyperlipidemia Fredrickson types I and V).",,,,No,FDA
7161,ANDA078035,CABERGOLINE,CABERGOLINE,ACTAVIS LABS FL INC,TABLET,ORAL,Approved,21.04.2008,2008.0,Discontinued,yes,No,Actavis,Small molecule,,,,,,,,,,,No,FDA
7162,ANDA078036,RISPERIDONE,RISPERIDONE,SUN PHARM INDS INC,TABLET,ORAL,Approved,10.03.2014,2014.0,Discontinued,yes,No,SUN,Small molecule,,,,,,,,,,,No,FDA
7163,ANDA078037,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,CHARTWELL MOLECULAR,TABLET,ORAL,Approved,27.02.2008,2008.0,authorised,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
7164,ANDA078039,MELOXICAM,MELOXICAM,CR DOUBLE CRANE,TABLET,ORAL,Approved,14.12.2006,2006.0,Discontinued,yes,No,CR DOUBLE CRANE,Small molecule,,,,,,,,,,,No,FDA
7165,ANDA078040,RISPERIDONE,RISPERIDONE,ZYDUS PHARMS USA INC,TABLET,ORAL,Approved,16.10.2008,2008.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
7166,ANDA078042,LEVETIRACETAM,LEVETIRACETAM,STRIDES PHARMA,TABLET,ORAL,Approved,15.01.2009,2009.0,authorised,yes,No,Strides,Small molecule,,,,,,,,,,,No,FDA
7167,ANDA078043,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,LUPIN,TABLET,ORAL,Approved,12.07.2007,2007.0,authorised,yes,No,Lupin,Small molecule,Diseases of the circulatory system,<Hypertension>; <Coronary Artery Disease>; <Chronic Stable Angina>; <Vasospastic Angina>,<Hypertension>; <Coronary Artery Disease>; <Chronic Stable Angina>; <Vasospastic Angina>,,,,"1 INDICATIONS AND USAGE Amlodipine besylate tablets are calcium channel blocker and may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of: •Hypertension ( 1.1 ) о Amlodipine besylate tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. •Coronary Artery Disease ( 1.2 ) о Chronic Stable Angina о Vasospastic Angina (Prinzmetal's or Variant Angina) о Angiographically Documented Coronary Artery Disease in patients without heart failure or an ejection fraction < 40% 1.1 Hypertension Amlodipine besylate tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including amlodipine besylate. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program's Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Amlodipine besylate tablets may be used alone or in combination with other antihypertensive agents. 1.2 Coronary Artery Disease (CAD) Chronic Stable Angina Amlodipine besylate tablets are indicated for the symptomatic treatment of chronic stable angina. Amlodipine besylate tablets may be used alone or in combination with other antianginal agents. Vasospastic Angina (Prinzmetal's or Variant Angina) Amlodipine besylate tablets are indicated for the treatment of confirmed or suspected vasospastic angina. Amlodipine besylate tablets may be used as monotherapy or in combination with other antianginal agents. Angiographically Documented CAD In patients with recently documented CAD by angiography and without heart failure or an ejection fraction <40%, amlodipine besylate tablets are indicated to reduce the risk of hospitalization for angina and to reduce the risk of a coronary revascularization procedure.",,,,No,FDA
7168,ANDA078045,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,NATCO PHARMA USA,CAPSULE,ORAL,Approved,17.11.2008,2008.0,Discontinued,yes,No,Natco,Small molecule,,,,,,,,,,,No,FDA
7169,ANDA078046,CICLOPIROX,CICLOPIROX,CHARTWELL RX,SOLUTION,TOPICAL,Approved,18.09.2007,2007.0,authorised,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
