Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
ORAL,MARKETED,66289,APPROVED,06.09.2000,2000,TEVA-DILTIAZEM CD,TEVA CANADA LIMITED,Teva,02242538,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,66290,APPROVED,06.09.2000,2000,TEVA-DILTIAZEM CD,TEVA CANADA LIMITED,Teva,02242539,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,66291,APPROVED,06.09.2000,2000,TEVA-DILTIAZEM CD,TEVA CANADA LIMITED,Teva,02242540,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,66292,APPROVED,06.09.2000,2000,TEVA-DILTIAZEM CD,TEVA CANADA LIMITED,Teva,02242541,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY)
ORAL,MARKETED,66413,APPROVED,15.05.2002,2002,MOTRIN 300MG,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,Johnson & Johnson,02242632,IBUPROFEN,Small molecule,TABLET
INTRAMUSCULAR; INTRAVENOUS,MARKETED,66434,APPROVED,15.08.2000,2000,GENTAMICIN INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,02242652,GENTAMICIN (GENTAMICIN SULFATE),Small molecule,SOLUTION
ORAL,MARKETED,66438,APPROVED,15.05.2002,2002,MOTRIN 400MG,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,Johnson & Johnson,02242658,IBUPROFEN,Small molecule,TABLET
INTRACUTANEOUS; SUBCUTANEOUS,MARKETED,66453,MARKETED,30.10.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - TIMOTHY,GREER LABORATORIES INC,Greer,02242664,STANDARDIZED TIMOTHY GRASS POLLEN,Vaccine,LIQUID
INTRACUTANEOUS; SUBCUTANEOUS,MARKETED,66455,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - KENTUCKY BLUE/JUNE,GREER LABORATORIES INC,Greer,02242666,STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN,Vaccine,LIQUID
SUBCUTANEOUS; INTRACUTANEOUS,MARKETED,66457,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - SWEET VERNAL,GREER LABORATORIES INC,Greer,02242668,STANDARDIZED SWEET VERNAL GRASS POLLEN,Vaccine,LIQUID
INTRACUTANEOUS; SUBCUTANEOUS,MARKETED,66458,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - SWEET VERNAL,GREER LABORATORIES INC,Greer,02242669,STANDARDIZED SWEET VERNAL GRASS POLLEN,Vaccine,LIQUID
SUBCUTANEOUS; INTRACUTANEOUS,MARKETED,66459,MARKETED,30.10.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - RED TOP,GREER LABORATORIES INC,Greer,02242670,STANDARDIZED REDTOP GRASS POLLEN,Vaccine,LIQUID
SUBCUTANEOUS; INTRACUTANEOUS,MARKETED,66461,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - MEADOW FESCUE,GREER LABORATORIES INC,Greer,02242672,STANDARDIZED MEADOW FESCUE GRASS POLLEN,Other,LIQUID
SUBCUTANEOUS; INTRACUTANEOUS,MARKETED,66463,MARKETED,31.10.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - ORCHARD,GREER LABORATORIES INC,Greer,02242674,STANDARDIZED ORCHARD GRASS POLLEN,Vaccine,LIQUID
INTRACUTANEOUS; SUBCUTANEOUS,MARKETED,66465,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - PERENNIAL RYE,GREER LABORATORIES INC,Greer,02242676,STANDARDIZED PERENNIAL RYE GRASS POLLEN,Vaccine,LIQUID
INTRACUTANEOUS; SUBCUTANEOUS,MARKETED,66466,APPROVED,28.07.2000,2000,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - PERENNIAL RYE,GREER LABORATORIES INC,Greer,02242677,STANDARDIZED PERENNIAL RYE GRASS POLLEN,Vaccine,LIQUID
ORAL,MARKETED,66470,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242680,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66471,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242681,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66472,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242682,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66473,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242683,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66474,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242684,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66475,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242685,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66476,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242686,WARFARIN SODIUM,Small molecule,TABLET
ORAL,MARKETED,66477,APPROVED,09.08.2000,2000,TARO-WARFARIN,TARO PHARMACEUTICALS INC,Taro,02242687,WARFARIN SODIUM,Small molecule,TABLET
SUBCUTANEOUS,MARKETED,66484,APPROVED,15.08.2000,2000,LOVENOX HP,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02242692,ENOXAPARIN SODIUM,Peptides and proteins,SOLUTION
