Marketing_authorisation_number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Referral,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Agency
anda212094,,fda,methadone hydrochloride,methadone hydrochloride,lannett co inc,concentrate,oral,approved,03.03.2021,2021,discontinued,yes,no,no,lannett,,,,FDA
anda212103,"1 indications & usage atorvastatin calcium tablets are indicated: •to reduce the risk of: o myocardial infarction (mi), stroke, revascularization procedures, and angina in adults with multiple risk factors for coronary heart disease (chd) but without clinically evident chd o mi and stroke in adults with type 2 diabetes mellitus with multiple risk factors for chd but without clinically evident chd o non-fatal mi, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive heart failure, and angina in adults with clinically evident chd •as an adjunct to diet to reduce low-density lipoprotein cholesterol (ldl-c) in: o adults with primary hyperlipidemia. o adults and pediatric patients aged 10 years and older with heterozygous familial hypercholesterolemia (hefh). •as an adjunct to other ldl-c-lowering therapies, or alone if such treatments are unavailable, to reduce ldl-c in adults and pediatric patients aged 10 years and older with homozygous familial hypercholesterolemia (hofh). •as an adjunct to diet for the treatment of adults with: o primary dysbetalipoproteinemia o hypertriglyceridemia atorvastatin calcium tablets are an hmg-coa reductase inhibitor (statin) indicated (1): • to reduce the risk of: myocardial infarction (mi), stroke, revascularization procedures, and angina in adults with multiple risk factors for coronary heart disease (chd) but without clinically evident chd. mi and stroke in adults with type 2 diabetes mellitus with multiple risk factors for chd but without clinically evident chd. non-fatal mi, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive heart failure, and angina in adults with clinically evident chd. • as an adjunct to diet to reduce low-density lipoprotein (ldl-c) in: adults with primary hyperlipidemia. adults and pediatric patients aged 10 years and older with heterozygous familial hypercholesterolemia (hefh). • as an adjunct to other ldl-c-lowering therapies to reduce ldl-c in adults and pediatric patients aged 10 years and older with homozygous familial hypercholesterolemia. • as an adjunct to diet for the treatment of adults with: primary dysbetalipoproteinemia. hypertriglyceridemia.",fda,atorvastatin calcium,atorvastatin calcium,cadila pharms ltd,tablet,oral,approved,16.10.2023,2023,discontinued,yes,no,no,cadila,,"diseases of the circulatory system; endocrine, nutritional, and metabolic diseases",<coronary disease>; <type 2 diabetes mellitus>; <hyperlipidemias>; <heterozygous familial hypercholesterolemia>; <homozygous familial hypercholesterolemia>; <dysbetalipoproteinemia>; <hypertriglyceridemia>,FDA
anda212104,,fda,clindamycin phosphate,clindamycin phosphate,padagis israel,gel,topical,approved,31.12.2020,2020,authorised,yes,no,no,padagis,,,,FDA
anda212106,,fda,entecavir,entecavir,swiss pharm,tablet,oral,approved,10.08.2020,2020,discontinued,yes,no,no,not reported,,,,FDA
anda212110,,fda,aminocaproic acid,aminocaproic acid,adaptis,tablet,oral,approved,14.06.2021,2021,discontinued,yes,no,no,not reported,,,,FDA
anda212112,,fda,phytonadione,phytonadione,hikma,tablet,oral,approved,19.12.2024,2024,discontinued,yes,no,no,hikma,,,,FDA
anda212114,,fda,emtricitabine and tenofovir disoproxil fumarate,emtricitabine,laurus,tablet,oral,approved,26.07.2019,2019,authorised,yes,no,no,not reported,,,,FDA
anda212117,,fda,decitabine,decitabine,nivagen pharms inc,injection,intravenous,approved,07.12.2020,2020,authorised,yes,no,no,nivagen,,,,FDA
anda212124,,fda,lurasidone hydrochloride,lurasidone hydrochloride,macleods pharms ltd,tablet,oral,approved,09.06.2023,2023,authorised,yes,no,no,macleods,,,,FDA
anda212126,,fda,entecavir,entecavir,brightgene,tablet,oral,approved,25.09.2019,2019,authorised,yes,no,no,brightgene,,,,FDA
anda212127,,fda,busulfan,busulfan,meitheal,injection,injection,approved,23.10.2020,2020,authorised,yes,no,no,meitheal,,,,FDA
anda212128,"1 indications and usage azacitidine for injection is a nucleoside metabolic inhibitor indicated for the treatment of: adult patients with the following fab myelodysplastic syndrome (mds) subtypes: refractory anemia (ra) or refractory anemia with ringed sideroblasts (rars) (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (raeb), refractory anemia with excess blasts in transformation (raeb-t), and chronic myelomonocytic leukemia (cmmol). ( 1.1 ) 1.1 myelodysplastic syndromes (mds) azacitidine for injection is indicated for treatment of adult patients with the following french-american-british (fab) myelodysplastic syndrome subtypes: refractory anemia (ra) or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (raeb), refractory anemia with excess blasts in transformation (raeb-t), and chronic myelomonocytic leukemia (cmmol). pediatric use information is approved for celgene corporation's vidaza (azacitidine for injection). however, due to celgene corporation's marketing exclusivity rights, this drug product is not labeled with that information.",fda,azacitidine,azacitidine,meitheal,powder,intravenous; subcutaneous,approved,02.11.2020,2020,authorised,yes,no,no,not reported,,diseases of the blood and blood-forming organs,<myelodysplastic syndromes>,FDA
anda212129,"1 indications and usage gemcitabine injection is a nucleoside metabolic inhibitor indicated: in combination with carboplatin, for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy. ( 1.1 ) in combination with paclitaxel, for first-line treatment of metastatic breast cancer after failure of prior anthracycline-containing adjuvant chemotherapy, unless anthracyclines were clinically contraindicated. ( 1.2 ) in combination with cisplatin for the treatment of non-small cell lung cancer. ( 1.3 ) as a single agent for the treatment of pancreatic cancer. ( 1.4 ) 1.1 ovarian cancer gemcitabine injection in combination with carboplatin is indicated for the treatment of patients with advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy. 1.2 breast cancer gemcitabine injection in combination with paclitaxel is indicated for the first-line treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing adjuvant chemotherapy, unless anthracyclines were clinically contraindicated. 1.3 non-small cell lung cancer gemcitabine injection in combination with cisplatin is indicated for the first-line treatment of patients with inoperable, locally advanced (stage iiia or iiib) or metastatic (stage iv) non-small cell lung cancer (nsclc). 1.4 pancreatic cancer gemcitabine injection is indicated as first-line treatment for patients with locally advanced (nonresectable stage ii or stage iii) or metastatic (stage iv) adenocarcinoma of the pancreas. gemcitabine injection is indicated for patients previously treated with fluorouracil.",fda,gemcitabine hydrochloride,gemcitabine hydrochloride,meitheal,injection,injection,approved,11.12.2020,2020,authorised,yes,no,no,not reported,,neoplasms; diseases of the genitourinary system; diseases of the respiratory system; diseases of the digestive system,"<ovarian neoplasms>; <breast neoplasms>; <lung neoplasms, non-small cell>; <pancreatic neoplasms>",FDA
anda212130,,fda,mycophenolate mofetil hydrochloride,mycophenolate mofetil hydrochloride,meitheal,injection,injection,approved,15.01.2021,2021,authorised,yes,no,no,meitheal,,,,FDA
anda212133,,fda,hydromorphone hydrochloride,hydromorphone hydrochloride,ascent pharms inc,tablet,oral,approved,23.09.2020,2020,authorised,yes,no,no,ascent,,,,FDA
anda212135,,fda,imatinib mesylate,imatinib mesylate,qilu pharm hainan,tablet,oral,approved,21.06.2022,2022,authorised,yes,no,no,qilu,,,,FDA
anda212137,,fda,brinzolamide; brimonidine tartrate,brinzolamide,perrigo pharma international dac,suspension; drops,ophthalmic,conditional marketing authorisation,29.11.2023,2023,none (conditional marketing authorisation),yes,no,no,perrigo,,,,FDA
anda212138,,fda,empagliflozin,empagliflozin,zydus pharms,tablet,oral,approved,03.08.2022,2022,discontinued,yes,no,no,zydus,,,,FDA
anda212143,,fda,fosaprepitant dimeglumine,fosaprepitant dimeglumine,chia tai tianqing,powder,intravenous,approved,03.03.2021,2021,authorised,yes,no,no,chia tai tianqing,,,,FDA
anda212144,,fda,chlorpromazine hydrochloride,chlorpromazine hydrochloride,glenmark pharms ltd,tablet,oral,approved,23.03.2021,2021,authorised,yes,no,no,glenmark,,,,FDA
anda212147,,fda,,,macleods pharms ltd,,,conditional marketing authorisation,29.04.2025,2025,,yes,,no,macleods,,,,FDA
anda212152,,fda,fingolimod hydrochloride,fingolimod hydrochloride,teva pharms usa,capsule,oral,approved,12.11.2021,2021,discontinued,yes,no,no,teva,,,,FDA
anda212160,"indications and usage dextroamphetamine sulfate tablets usp are indicated for: narcolepsy . attention deficit disorder with hyperactivity , as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in pediatric patients (ages 3 to 16 years) with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. the diagnosis of this syndrome should not be made with finality when these symptoms are only of comparatively recent origin. nonlocalizing (soft) neurological signs, learning disability, and abnormal eeg may or may not be present, and a diagnosis of central nervous system dysfunction may or may not be warranted.",fda,dextroamphetamine sulfate,dextroamphetamine sulfate,winder labs llc,tablet,oral,approved,07.06.2021,2021,authorised,yes,no,no,winder,,diseases of the nervous system; mental and behavioural disorders,<narcolepsy>; <attention deficit disorder with hyperactivity>,FDA
anda212162,,fda,voriconazole,voriconazole,eugia pharma,injection,intravenous,approved,02.02.2023,2023,discontinued,yes,no,no,eugia,,,,FDA
anda212168,,fda,tavaborole,tavaborole,lupin ltd,solution,topical,approved,08.02.2021,2021,authorised,yes,no,no,lupin,,,,FDA
anda212169,,fda,efinaconazole,efinaconazole,lupin ltd,solution,topical,approved,02.03.2022,2022,discontinued,yes,no,no,lupin,,,,FDA
anda212171,,fda,cisatracurium besylate,cisatracurium besylate,zydus pharms,injection,injection,approved,04.11.2019,2019,authorised,yes,no,no,zydus,,,,FDA
anda212172,,fda,methenamine hippurate,methenamine hippurate,micro labs,tablet,oral,approved,01.08.2019,2019,authorised,yes,no,no,micro,,,,FDA
anda212173,indications and usage herpes zoster infections: acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox: acyclovir is indicated for the treatment of chickenpox (varicella).,fda,acyclovir,acyclovir,yiling,capsule,oral,approved,14.09.2020,2020,authorised,yes,no,no,yiling,,infectious and parasitic diseases,<herpes zoster>; <genital herpes>; <chickenpox>,FDA
anda212174,,fda,furosemide,furosemide,eugia pharma,injection,injection,approved,03.05.2019,2019,authorised,yes,no,no,eugia,,,,FDA
anda212178,,fda,efinaconazole,efinaconazole,zydus lifesciences,solution,topical,approved,15.07.2022,2022,discontinued,yes,no,no,zydus,,,,FDA
anda212179,,fda,dolutegravir sodium,dolutegravir sodium,micro labs ltd,tablet,oral,conditional marketing authorisation,13.09.2019,2019,none (conditional marketing authorisation),yes,no,no,micro labs,,,,FDA
anda212181,,fda,abacavir || dolutegravir || lamivudine,abacavir || dolutegravir || lamivudine,emcure pharms ltd,tablet,oral,conditional marketing authorisation,05.12.2024,2024,none (conditional marketing authorisation),yes,no,no,emcure,,,,FDA
anda212182,"1 indications and usage fluvoxamine maleate extended-release capsules are selective serotonin reuptake inhibitor (ssri) indicated for the treatment of obsessive compulsive disorder (ocd) ( 1 ). efficacy was demonstrated in: one 12-week study with fluvoxamine maleate extended-release capsules in adults ( 14.1 ) . two 10-week studies with immediate-release (ir) fluvoxamine tablets in adults and one 10-week study with ir fluvoxamine tablets in children and adolescents ( 14.1 , 14.3 ) . one maintenance study with ir fluvoxamine tablets ( 14.2 ) . 1.1 obsessive compulsive disorder fluvoxamine maleate extended-release capsules are indicated for the treatment of obsessive compulsive disorder (ocd), as defined in the dsm-iv. obsessive compulsive disorder is characterized by recurrent and persistent ideas, thoughts, impulses, or images (obsessions) that are ego-dystonic and/or repetitive, purposeful, and intentional behaviors (compulsions) that are recognized by the person as excessive or unreasonable. the obsessions or compulsions cause marked distress, are time-consuming, or significantly interfere with social or occupational functioning. the efficacy of fluvoxamine maleate extended-release capsules was demonstrated in one 12-week trial in adults with fluvoxamine maleate extended-release capsules as well as in two 10-week trials in adults and in one 10-week trial in children and adolescents (ages 8 to 17 years) with immediate-release fluvoxamine tablets in outpatients with the diagnosis of ocd as defined in dsm-iv or dsm-iii-r [see clinical studies ( 14.1 , 14.3 )] . the efficacy of fluvoxamine for long-term use was established in one maintenance study in adults with immediate-release fluvoxamine tablets [see clinical studies ( 14. 2 )] . the health care provider who elects to prescribe fluvoxamine maleate extended-release capsules for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient [see dosage and administration ( 2.4 ) ] .",fda,fluvoxamine maleate,fluvoxamine maleate,bionpharma,capsule,oral,approved,11.05.2020,2020,authorised,yes,no,no,bionpharma,,mental and behavioural disorders,<obsessive-compulsive disorder>,FDA
anda212183,,fda,potassium chloride,potassium chloride,ajenat pharms,solution,oral,approved,06.05.2019,2019,authorised,yes,no,no,ajenat,,,,FDA
anda212184,,fda,theophylline,theophylline,glenmark pharms ltd,tablet,oral,approved,03.06.2021,2021,authorised,yes,no,no,glenmark,,,,FDA
anda212185,,fda,chlorzoxazone,chlorzoxazone,glenmark pharms ltd,tablet,oral,approved,26.05.2020,2020,discontinued,yes,no,no,glenmark,,,,FDA
anda212186,,fda,amphetamine sulfate,amphetamine sulfate,glenmark pharms ltd,tablet,oral,approved,27.01.2021,2021,discontinued,yes,no,no,glenmark,,,,FDA
anda212188,,fda,tavaborole,tavaborole,alembic,solution,topical,approved,21.10.2020,2020,authorised,yes,no,no,alembic,,,,FDA
anda212189,,fda,isoproterenol hydrochloride,isoproterenol hydrochloride,avet lifesciences,injection,injection,approved,19.11.2021,2021,authorised,yes,no,no,avet,,,,FDA
anda212191,,fda,fluoxetine hydrochloride,fluoxetine hydrochloride,g and w labs inc,tablet,oral,approved,05.07.2019,2019,discontinued,yes,no,no,g and w,,,,FDA
anda212193,,fda,imatinib mesylate,imatinib mesylate,cspc ouyi,tablet,oral,approved,21.04.2025,2025,authorised,yes,no,no,cspc,,,,FDA
anda212196,,fda,tizanidine hydrochloride,tizanidine hydrochloride,alkem labs ltd,capsule,oral,approved,27.03.2019,2019,authorised,yes,no,no,alkem,,,,FDA
anda212197,,fda,albuterol sulfate,albuterol sulfate,quagen,syrup,oral,approved,06.09.2019,2019,authorised,yes,no,no,quagen,,,,FDA
anda212198,,fda,empagliflozin and metformin hydrochloride,empagliflozin,zydus pharms,tablet,oral,approved,07.07.2022,2022,discontinued,yes,no,no,zydus,,,,FDA
anda212199,1 indications and usage naproxen sodium tablets are non-steroidal anti-inflammatory drugs indicated for: the relief of the signs and symptoms of: rheumatoid arthritis osteoarthritis ankylosing spondylitis polyarticular juvenile idiopathic arthritis naproxen sodium tablets are also indicated for: the relief of the signs and symptoms of: tendonitis bursitis acute gout the management of: pain primary dysmenorrhea naproxen sodium tablets are non-steroidal anti-inflammatory drugs indicated for: the relief of the signs and symptoms of: • rheumatoid arthritis • osteoarthritis • ankylosing spondylitis • polyarticular juvenile idiopathic arthritis naproxen sodium tablets are also indicated for: the relief of the signs and symptoms of: • tendonitis • bursitis • acute gout the management of: • pain • primary dysmenorrhea,fda,naproxen sodium,naproxen sodium,sciegen pharms inc,tablet,oral,approved,30.10.2019,2019,authorised,yes,no,no,sciegen,,diseases of the musculoskeletal system and connective tissue; diseases of the genitourinary system,<rheumatoid arthritis>; <osteoarthritis>; <ankylosing spondylitis>; <juvenile idiopathic arthritis>; <tendinopathy>; <bursitis>; <gout>,FDA
anda212201,,fda,entecavir,entecavir,yaopharma co ltd,tablet,oral,approved,04.11.2019,2019,discontinued,yes,no,no,yaopharma,,,,FDA
anda212202,,fda,acyclovir,acyclovir,prinston inc,ointment,topical,approved,15.11.2021,2021,discontinued,yes,no,no,prinston,,,,FDA
anda212204,,fda,bortezomib,bortezomib,hetero labs ltd vi,injection,intravenous; subcutaneous,approved,03.05.2024,2024,authorised,yes,no,no,hetero,,,,FDA
anda212206,,fda,abiraterone acetate,abiraterone acetate,teva pharms usa,tablet,oral,approved,24.06.2022,2022,discontinued,yes,no,no,teva,,,,FDA
anda212214,,fda,solifenacin succinate,solifenacin succinate,esjay pharma,tablet,oral,approved,26.09.2019,2019,authorised,yes,no,no,esjay,,,,FDA
anda212215,,fda,tavaborole,tavaborole,taro,solution,topical,approved,07.05.2021,2021,authorised,yes,no,no,taro,,,,FDA
anda212218,,fda,clomipramine hydrochloride,clomipramine hydrochloride,jubilant cadista,capsule,oral,approved,21.10.2019,2019,authorised,yes,no,no,jubilant,,,,FDA
anda212219,,fda,doxorubicin hydrochloride (liposomal),doxorubicin hydrochloride,baxter hlthcare corp,injection,injection,approved,19.10.2022,2022,authorised,yes,no,no,baxter,,,,FDA
anda212220,,fda,rivaroxaban,rivaroxaban,mylan pharms inc,tablet,oral,conditional marketing authorisation,27.06.2022,2022,none (conditional marketing authorisation),yes,no,no,mylan,,,,FDA
anda212222,,fda,nitroglycerin,nitroglycerin,acrux dds,ointment,intra-anal,approved,29.11.2024,2024,authorised,yes,no,no,acrux,,,,FDA
anda212223,,fda,captopril,captopril,seton pharms,tablet,oral,approved,30.10.2019,2019,discontinued,yes,no,no,seton,,,,FDA
anda212224,,fda,tavaborole,tavaborole,cipla,solution,topical,approved,09.02.2021,2021,authorised,yes,no,no,cipla,,,,FDA
anda212226,,fda,posaconazole,posaconazole,specgx llc,tablet,oral,approved,10.05.2022,2022,authorised,yes,no,no,specgx,,,,FDA
