drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
nusinersen,EMA,TGA,195,6.40604467805519,2017-04-21,2017-11-02,EMA -> TGA
obinutuzumab,TGA,EMA,15,0.49277266754270693,2014-05-07,2014-05-22,TGA -> EMA
ocrelizumab,TGA,EMA,129,4.23784494086728,2017-07-03,2017-11-09,TGA -> EMA
ocriplasmin,EMA,TGA,624,20.49934296977661,2013-01-17,2014-10-03,EMA -> TGA
octreotide,TGA,EMA,3927,129.00788436268067,2011-12-15,2022-09-15,TGA -> EMA
ofatumumab,EMA,TGA,329,10.808147174770038,2010-01-20,2010-12-15,EMA -> TGA
olaparib,EMA,TGA,426,13.994743758212877,2014-10-23,2015-12-23,EMA -> TGA
olipudase alfa,EMA,TGA,459,15.078843626806833,2022-05-19,2023-08-21,EMA -> TGA
olipudase alfa,TGA,Swissmedic,120,3.9421813403416555,2023-08-21,2023-12-19,TGA -> Swissmedic
omalizumab,TGA,EMA,3423,112.45072273324573,2014-11-06,2024-03-21,TGA -> EMA
onasemnogene abeparvovec,EMA,TGA,335,11.005256241787121,2020-03-26,2021-02-24,EMA -> TGA
onasemnogene abeparvovec,TGA,Swissmedic,124,4.073587385019711,2021-02-24,2021-06-28,TGA -> Swissmedic
opicapone,EMA,TGA,1605,52.726675427069644,2016-04-28,2020-09-19,EMA -> TGA
oritavancin,EMA,Swissmedic,2632,86.46517739816031,2015-01-22,2022-04-07,EMA -> Swissmedic
osilodrostat,EMA,TGA,904,29.69776609724047,2019-11-14,2022-05-06,EMA -> TGA
ozanimod,EMA,Swissmedic,138,4.533508541392904,2020-03-26,2020-08-11,EMA -> Swissmedic
paclitaxel,EMA,TGA,2034,66.81997371879106,2008-01-11,2013-08-06,EMA -> TGA
palbociclib,EMA,TGA,225,7.391590013140604,2016-09-15,2017-04-28,EMA -> TGA
paliperidone,TGA,EMA,367,12.056504599211562,2009-12-14,2010-12-16,TGA -> EMA
panobinostat,EMA,TGA,264,8.672798948751643,2015-07-03,2016-03-23,EMA -> TGA
pasireotide,EMA,TGA,648,21.28777923784494,2012-01-19,2013-10-28,EMA -> TGA
patisiran,EMA,Swissmedic,424,13.92904073587385,2018-07-26,2019-09-23,EMA -> Swissmedic
patisiran,Swissmedic,TGA,1152,37.844940867279895,2019-09-23,2022-11-18,Swissmedic -> TGA
pegaspargase,EMA,TGA,693,22.766097240473062,2015-11-26,2017-10-19,EMA -> TGA
pegcetacoplan,EMA,TGA,106,3.4822601839684624,2021-10-14,2022-01-28,EMA -> TGA
pegcetacoplan,TGA,Swissmedic,419,13.764783180026281,2022-01-28,2023-03-23,TGA -> Swissmedic
pegfilgrastim,EMA,TGA,1257,41.29434954007884,2015-02-26,2018-08-06,EMA -> TGA
pegvaliase,EMA,TGA,859,28.21944809461235,2019-02-28,2021-07-06,EMA -> TGA
pembrolizumab,TGA,EMA,36,1.1826544021024967,2015-04-15,2015-05-21,TGA -> EMA
pemigatinib,EMA,Swissmedic,138,4.533508541392904,2021-02-25,2021-07-13,EMA -> Swissmedic
pemigatinib,Swissmedic,TGA,426,13.994743758212877,2021-07-13,2022-09-12,Swissmedic -> TGA
peramivir,EMA,TGA,22,0.7227332457293035,2018-02-22,2018-03-16,EMA -> TGA
perampanel,EMA,TGA,722,23.71879106438896,2012-05-24,2014-05-16,EMA -> TGA
